Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     3.02570,     3.02568,     2.95368,     2.95307
01/01/2022 00:02:00,                  60,     3.04398,     3.04399,     3.03579,     3.03570
01/01/2022 00:03:00,                 120,     3.06712,     3.06714,     3.06096,     3.06095
01/01/2022 00:04:00,                 180,     3.09041,     3.09043,     3.08376,     3.08374
01/01/2022 00:05:00,                 240,     3.11377,     3.11378,     3.10713,     3.10711
01/01/2022 00:06:00,                 300,     3.13712,     3.13714,     3.13053,     3.13051
01/01/2022 00:07:00,                 360,     3.16048,     3.16050,     3.15395,     3.15393
01/01/2022 00:08:00,                 420,     3.18383,     3.18385,     3.17694,     3.17692
01/01/2022 00:09:00,                 480,     3.20719,     3.20721,     3.20036,     3.20034
01/01/2022 00:10:00,                 540,     3.23055,     3.23057,     3.22368,     3.22366
01/01/2022 00:11:00,                 600,     3.25383,     3.25385,     3.24699,     3.24697
01/01/2022 00:12:00,                 660,     3.27719,     3.27721,     3.27005,     3.27003
01/01/2022 00:13:00,                 720,     3.30056,     3.30058,     3.29348,     3.29346
01/01/2022 00:14:00,                 780,     3.32392,     3.32394,     3.31691,     3.31689
01/01/2022 00:15:00,                 840,     3.34728,     3.34730,     3.33972,     3.33970
01/01/2022 00:16:00,                 900,     3.37065,     3.37066,     3.36311,     3.36309
01/01/2022 00:17:00,                 960,     3.39402,     3.39404,     3.38655,     3.38653
01/01/2022 00:18:00,                1020,     3.41724,     3.41727,     3.40949,     3.40947
01/01/2022 00:19:00,                1080,     3.44062,     3.44064,     3.43272,     3.43270
01/01/2022 00:20:00,                1140,     3.46400,     3.46402,     3.45603,     3.45600
01/01/2022 00:21:00,                1200,     3.48736,     3.48738,     3.47880,     3.47877
01/01/2022 00:22:00,                1260,     3.51075,     3.51077,     3.50220,     3.50218
01/01/2022 00:23:00,                1320,     3.53392,     3.53395,     3.52547,     3.52545
01/01/2022 00:24:00,                1380,     3.55730,     3.55733,     3.54771,     3.54768
01/01/2022 00:25:00,                1440,     3.58072,     3.58075,     3.57130,     3.57127
01/01/2022 00:26:00,                1500,     3.60411,     3.60414,     3.59384,     3.59381
01/01/2022 00:27:00,                1560,     3.62706,     3.62710,     3.61640,     3.61638
01/01/2022 00:28:00,                1620,     3.65051,     3.65056,     3.63756,     3.63752
01/01/2022 00:29:00,                1680,     3.67391,     3.67397,     3.65712,     3.65709
01/01/2022 00:30:00,                1740,     3.69540,     3.69556,     3.66826,     3.66828
01/01/2022 00:31:00,                1800,     3.71984,     3.71987,     3.71519,     3.71513
01/01/2022 00:32:00,                1860,     3.74289,     3.74290,     3.73760,     3.73762
01/01/2022 00:33:00,                1920,     3.76625,     3.76625,     3.76139,     3.76142
01/01/2022 00:34:00,                1980,     3.78960,     3.78961,     3.78509,     3.78512
01/01/2022 00:35:00,                2040,     3.81296,     3.81296,     3.80872,     3.80875
01/01/2022 00:36:00,                2100,     3.83631,     3.83632,     3.83228,     3.83232
01/01/2022 00:37:00,                2160,     3.85966,     3.85967,     3.85581,     3.85584
01/01/2022 00:38:00,                2220,     3.88302,     3.88302,     3.87930,     3.87933
01/01/2022 00:39:00,                2280,     3.90637,     3.90637,     3.90276,     3.90280
01/01/2022 00:40:00,                2340,     3.92970,     3.92970,     3.92606,     3.92610
01/01/2022 00:41:00,                2400,     3.95305,     3.95305,     3.94948,     3.94952
01/01/2022 00:42:00,                2460,     3.97640,     3.97640,     3.97305,     3.97309
01/01/2022 00:43:00,                2520,     3.99975,     3.99975,     3.99642,     3.99646
01/01/2022 00:44:00,                2580,     4.02310,     4.02311,     4.01978,     4.01982
01/01/2022 00:45:00,                2640,     4.04645,     4.04646,     4.04315,     4.04318
01/01/2022 00:46:00,                2700,     4.06980,     4.06981,     4.06651,     4.06655
01/01/2022 00:47:00,                2760,     4.09315,     4.09316,     4.08987,     4.08991
01/01/2022 00:48:00,                2820,     4.11650,     4.11651,     4.11324,     4.11328
01/01/2022 00:49:00,                2880,     4.13985,     4.13986,     4.13660,     4.13664
01/01/2022 00:50:00,                2940,     4.16320,     4.16321,     4.15997,     4.16000
01/01/2022 00:51:00,                3000,     4.18655,     4.18656,     4.18332,     4.18336
01/01/2022 00:52:00,                3060,     4.20990,     4.20991,     4.20669,     4.20672
01/01/2022 00:53:00,                3120,     4.23325,     4.23326,     4.23005,     4.23009
01/01/2022 00:54:00,                3180,     4.25660,     4.25661,     4.25342,     4.25345
01/01/2022 00:55:00,                3240,     4.27995,     4.27996,     4.27678,     4.27682
01/01/2022 00:56:00,                3300,     4.30330,     4.30331,     4.30015,     4.30019
01/01/2022 00:57:00,                3360,     4.32666,     4.32666,     4.32351,     4.32355
01/01/2022 00:58:00,                3420,     4.35001,     4.35001,     4.34688,     4.34692
01/01/2022 00:59:00,                3480,     4.37336,     4.37336,     4.37025,     4.37028
01/01/2022 01:00:00,                3540,     4.39671,     4.39671,     4.39361,     4.39365
01/01/2022 01:01:00,                3600,     4.42004,     4.42004,     4.41685,     4.41689
01/01/2022 01:02:00,                3660,     4.44338,     4.44339,     4.44021,     4.44024
01/01/2022 01:03:00,                3720,     4.46673,     4.46674,     4.46357,     4.46361
01/01/2022 01:04:00,                3780,     4.49008,     4.49009,     4.48693,     4.48697
01/01/2022 01:05:00,                3840,     4.51343,     4.51344,     4.51029,     4.51033
01/01/2022 01:06:00,                3900,     4.53678,     4.53679,     4.53366,     4.53370
01/01/2022 01:07:00,                3960,     4.56013,     4.56014,     4.55702,     4.55706
01/01/2022 01:08:00,                4020,     4.58348,     4.58349,     4.58039,     4.58042
01/01/2022 01:09:00,                4080,     4.60683,     4.60684,     4.60375,     4.60378
01/01/2022 01:10:00,                4140,     4.63018,     4.63019,     4.62711,     4.62715
01/01/2022 01:11:00,                4200,     4.65353,     4.65354,     4.65047,     4.65051
01/01/2022 01:12:00,                4260,     4.67688,     4.67689,     4.67384,     4.67387
01/01/2022 01:13:00,                4320,     4.70023,     4.70023,     4.69720,     4.69724
01/01/2022 01:14:00,                4380,     4.72358,     4.72358,     4.72056,     4.72060
01/01/2022 01:15:00,                4440,     4.74693,     4.74693,     4.74392,     4.74396
01/01/2022 01:16:00,                4500,     4.77028,     4.77028,     4.76728,     4.76732
01/01/2022 01:17:00,                4560,     4.79363,     4.79363,     4.79065,     4.79068
01/01/2022 01:18:00,                4620,     4.81698,     4.81698,     4.81401,     4.81405
01/01/2022 01:19:00,                4680,     4.84033,     4.84033,     4.83738,     4.83741
