Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,    71.92497,    71.92142,    63.53432,    63.53380
01/01/2022 00:02:00,                  60,    71.00967,    71.01074,    63.16118,    63.15953
01/01/2022 00:03:00,                 120,    71.26950,    71.26964,    63.56001,    63.55981
01/01/2022 00:04:00,                 180,    71.47422,    71.47441,    63.88560,    63.88530
01/01/2022 00:05:00,                 240,    71.68678,    71.68697,    64.22229,    64.22199
01/01/2022 00:06:00,                 300,    71.90085,    71.90103,    64.56061,    64.56033
01/01/2022 00:07:00,                 360,    72.11500,    72.11519,    64.89514,    64.89486
01/01/2022 00:08:00,                 420,    72.32845,    72.32863,    65.21625,    65.21598
01/01/2022 00:09:00,                 480,    72.54708,    72.54726,    65.54460,    65.54433
01/01/2022 00:10:00,                 540,    72.76642,    72.76661,    65.87316,    65.87289
01/01/2022 00:11:00,                 600,    72.98807,    72.98825,    66.20413,    66.20386
01/01/2022 00:12:00,                 660,    73.21304,    73.21324,    66.53690,    66.53661
01/01/2022 00:13:00,                 720,    73.44123,    73.44144,    66.87486,    66.87457
01/01/2022 00:14:00,                 780,    73.66990,    73.67010,    67.21323,    67.21293
01/01/2022 00:15:00,                 840,    73.89808,    73.89828,    67.54614,    67.54586
01/01/2022 00:16:00,                 900,    74.13726,    74.13746,    67.89075,    67.89047
01/01/2022 00:17:00,                 960,    74.37734,    74.37754,    68.23653,    68.23625
01/01/2022 00:18:00,                1020,    74.61543,    74.61566,    68.57804,    68.57772
01/01/2022 00:19:00,                1080,    74.86409,    74.86433,    68.93147,    68.93114
01/01/2022 00:20:00,                1140,    75.12117,    75.12141,    69.29353,    69.29318
01/01/2022 00:21:00,                1200,    75.37693,    75.37718,    69.65187,    69.65154
01/01/2022 00:22:00,                1260,    75.64599,    75.64623,    70.02636,    70.02602
01/01/2022 00:23:00,                1320,    75.91453,    75.91477,    70.38873,    70.38841
01/01/2022 00:24:00,                1380,    76.19997,    76.20031,    70.75909,    70.75866
01/01/2022 00:25:00,                1440,    76.50236,    76.50269,    71.15212,    71.15168
01/01/2022 00:26:00,                1500,    76.80527,    76.80563,    71.54134,    71.54089
01/01/2022 00:27:00,                1560,    77.13213,    77.13249,    71.95536,    71.95491
01/01/2022 00:28:00,                1620,    77.49345,    77.49410,    72.39709,    72.39629
01/01/2022 00:29:00,                1680,    77.89208,    77.89293,    72.87057,    72.86959
01/01/2022 00:30:00,                1740,    78.36652,    78.36817,    73.39155,    73.38972
01/01/2022 00:31:00,                1800,    78.54857,    78.54857,    73.75379,    73.75359
01/01/2022 00:32:00,                1860,    78.54857,    78.54857,    73.83502,    73.83512
01/01/2022 00:33:00,                1920,    78.54857,    78.54857,    73.92198,    73.92209
01/01/2022 00:34:00,                1980,    78.54857,    78.54857,    74.00859,    74.00870
01/01/2022 00:35:00,                2040,    78.54857,    78.54857,    74.09492,    74.09504
01/01/2022 00:36:00,                2100,    78.54857,    78.54857,    74.18104,    74.18117
01/01/2022 00:37:00,                2160,    78.54857,    78.54857,    74.26701,    74.26714
01/01/2022 00:38:00,                2220,    78.54857,    78.54857,    74.35284,    74.35298
01/01/2022 00:39:00,                2280,    78.54857,    78.54857,    74.43859,    74.43871
01/01/2022 00:40:00,                2340,    78.54857,    78.54857,    74.51737,    74.51747
01/01/2022 00:41:00,                2400,    78.54857,    78.54857,    74.58566,    74.58577
01/01/2022 00:42:00,                2460,    78.54857,    78.54857,    74.65439,    74.65451
01/01/2022 00:43:00,                2520,    78.54857,    78.54857,    74.72254,    74.72265
01/01/2022 00:44:00,                2580,    78.54857,    78.54857,    74.79067,    74.79079
01/01/2022 00:45:00,                2640,    78.54857,    78.54857,    74.85880,    74.85892
01/01/2022 00:46:00,                2700,    78.54857,    78.54857,    74.92694,    74.92705
01/01/2022 00:47:00,                2760,    78.54857,    78.54857,    74.99508,    74.99519
01/01/2022 00:48:00,                2820,    78.54857,    78.54857,    75.06321,    75.06333
01/01/2022 00:49:00,                2880,    78.54857,    78.54857,    75.13135,    75.13146
01/01/2022 00:50:00,                2940,    78.54857,    78.54857,    75.19948,    75.19960
01/01/2022 00:51:00,                3000,    78.54857,    78.54857,    75.26369,    75.26380
01/01/2022 00:52:00,                3060,    78.54857,    78.54857,    75.32735,    75.32745
01/01/2022 00:53:00,                3120,    78.54857,    78.54857,    75.39100,    75.39110
