Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     2.21290,     2.18487,     1.77540,     1.77558
01/01/2022 00:02:00,                  60,     2.21885,     2.18960,     1.75332,     1.75329
01/01/2022 00:03:00,                 120,     2.22781,     2.19824,     1.75933,     1.75933
01/01/2022 00:04:00,                 180,     2.23639,     2.20645,     1.76416,     1.76416
01/01/2022 00:05:00,                 240,     2.24512,     2.21481,     1.76920,     1.76919
01/01/2022 00:06:00,                 300,     2.25388,     2.22320,     1.77427,     1.77426
01/01/2022 00:07:00,                 360,     2.26262,     2.23157,     1.77934,     1.77933
01/01/2022 00:08:00,                 420,     2.27149,     2.24006,     1.78457,     1.78456
01/01/2022 00:09:00,                 480,     2.28046,     2.24866,     1.78994,     1.78994
01/01/2022 00:10:00,                 540,     2.28941,     2.25724,     1.79534,     1.79534
01/01/2022 00:11:00,                 600,     2.29849,     2.26594,     1.80082,     1.80081
01/01/2022 00:12:00,                 660,     2.30813,     2.27519,     1.80654,     1.80653
01/01/2022 00:13:00,                 720,     2.31779,     2.28446,     1.81233,     1.81233
01/01/2022 00:14:00,                 780,     2.32744,     2.29370,     1.81814,     1.81814
01/01/2022 00:15:00,                 840,     2.33722,     2.30308,     1.82415,     1.82414
01/01/2022 00:16:00,                 900,     2.34725,     2.31271,     1.83054,     1.83053
01/01/2022 00:17:00,                 960,     2.35725,     2.32232,     1.83695,     1.83695
01/01/2022 00:18:00,                1020,     2.36784,     2.33248,     1.84346,     1.84345
01/01/2022 00:19:00,                1080,     2.37911,     2.34330,     1.85040,     1.85039
01/01/2022 00:20:00,                1140,     2.39048,     2.35421,     1.85757,     1.85756
01/01/2022 00:21:00,                1200,     2.40208,     2.36535,     1.86504,     1.86503
01/01/2022 00:22:00,                1260,     2.41408,     2.37688,     1.87308,     1.87307
01/01/2022 00:23:00,                1320,     2.42630,     2.38864,     1.88118,     1.88117
01/01/2022 00:24:00,                1380,     2.44062,     2.40238,     1.89031,     1.89030
01/01/2022 00:25:00,                1440,     2.45525,     2.41643,     1.90000,     1.89999
01/01/2022 00:26:00,                1500,     2.47061,     2.43120,     1.91049,     1.91048
01/01/2022 00:27:00,                1560,     2.48749,     2.44744,     1.92207,     1.92206
01/01/2022 00:28:00,                1620,     2.50990,     2.46894,     1.93629,     1.93626
01/01/2022 00:29:00,                1680,     2.53620,     2.49420,     1.95404,     1.95400
01/01/2022 00:30:00,                1740,     2.59955,     2.55461,     1.98112,     1.98098
01/01/2022 00:31:00,                1800,     2.76041,     2.68105,     2.07244,     2.07242
01/01/2022 00:32:00,                1860,     2.78483,     2.70463,     2.08836,     2.08838
01/01/2022 00:33:00,                1920,     2.81026,     2.72922,     2.10526,     2.10528
01/01/2022 00:34:00,                1980,     2.83574,     2.75386,     2.12216,     2.12218
01/01/2022 00:35:00,                2040,     2.86129,     2.77857,     2.13908,     2.13911
