Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     6.49424,     6.48014,     0.75459,     0.75463
01/01/2022 00:02:00,                  60,     6.48607,     6.47146,     0.74984,     0.74982
01/01/2022 00:03:00,                 120,     6.49357,     6.47879,     0.75439,     0.75439
01/01/2022 00:04:00,                 180,     6.50027,     6.48530,     0.75821,     0.75820
01/01/2022 00:05:00,                 240,     6.50716,     6.49201,     0.76216,     0.76215
01/01/2022 00:06:00,                 300,     6.51407,     6.49873,     0.76613,     0.76612
01/01/2022 00:07:00,                 360,     6.52098,     6.50545,     0.77006,     0.77006
01/01/2022 00:08:00,                 420,     6.52803,     6.51232,     0.77395,     0.77394
01/01/2022 00:09:00,                 480,     6.53520,     6.51930,     0.77794,     0.77793
01/01/2022 00:10:00,                 540,     6.54237,     6.52629,     0.78193,     0.78192
01/01/2022 00:11:00,                 600,     6.54965,     6.53338,     0.78596,     0.78596
01/01/2022 00:12:00,                 660,     6.55733,     6.54086,     0.79010,     0.79009
01/01/2022 00:13:00,                 720,     6.56506,     6.54839,     0.79430,     0.79429
01/01/2022 00:14:00,                 780,     6.57279,     6.55592,     0.79850,     0.79850
01/01/2022 00:15:00,                 840,     6.58068,     6.56361,     0.80277,     0.80276
01/01/2022 00:16:00,                 900,     6.58889,     6.57163,     0.80726,     0.80726
01/01/2022 00:17:00,                 960,     6.59710,     6.57963,     0.81177,     0.81177
01/01/2022 00:18:00,                1020,     6.60565,     6.58797,     0.81629,     0.81629
01/01/2022 00:19:00,                1080,     6.61475,     6.59685,     0.82105,     0.82105
01/01/2022 00:20:00,                1140,     6.62402,     6.60589,     0.82593,     0.82593
01/01/2022 00:21:00,                1200,     6.63356,     6.61520,     0.83093,     0.83093
01/01/2022 00:22:00,                1260,     6.64357,     6.62498,     0.83625,     0.83624
01/01/2022 00:23:00,                1320,     6.65374,     6.63491,     0.84147,     0.84146
01/01/2022 00:24:00,                1380,     6.66546,     6.64635,     0.84712,     0.84711
01/01/2022 00:25:00,                1440,     6.67762,     6.65821,     0.85311,     0.85311
