Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     0.88739,     0.88739,     0.75438,     0.75437
01/01/2022 00:02:00,                  60,     0.87668,     0.87668,     0.74976,     0.74976
01/01/2022 00:03:00,                 120,     0.87967,     0.87967,     0.75436,     0.75436
01/01/2022 00:04:00,                 180,     0.88208,     0.88208,     0.75817,     0.75817
01/01/2022 00:05:00,                 240,     0.88460,     0.88460,     0.76212,     0.76212
01/01/2022 00:06:00,                 300,     0.88714,     0.88714,     0.76609,     0.76609
01/01/2022 00:07:00,                 360,     0.88967,     0.88967,     0.77003,     0.77003
01/01/2022 00:08:00,                 420,     0.89228,     0.89228,     0.77391,     0.77391
01/01/2022 00:09:00,                 480,     0.89497,     0.89497,     0.77790,     0.77790
01/01/2022 00:10:00,                 540,     0.89767,     0.89767,     0.78189,     0.78189
01/01/2022 00:11:00,                 600,     0.90041,     0.90041,     0.78593,     0.78593
01/01/2022 00:12:00,                 660,     0.90327,     0.90327,     0.79006,     0.79006
01/01/2022 00:13:00,                 720,     0.90617,     0.90617,     0.79426,     0.79426
01/01/2022 00:14:00,                 780,     0.90907,     0.90907,     0.79847,     0.79847
01/01/2022 00:15:00,                 840,     0.91207,     0.91207,     0.80273,     0.80273
01/01/2022 00:16:00,                 900,     0.91527,     0.91527,     0.80722,     0.80722
01/01/2022 00:17:00,                 960,     0.91848,     0.91848,     0.81173,     0.81173
01/01/2022 00:18:00,                1020,     0.92173,     0.92173,     0.81626,     0.81626
01/01/2022 00:19:00,                1080,     0.92520,     0.92520,     0.82102,     0.82102
01/01/2022 00:20:00,                1140,     0.92879,     0.92879,     0.82589,     0.82589
01/01/2022 00:21:00,                1200,     0.93252,     0.93252,     0.83089,     0.83089
01/01/2022 00:22:00,                1260,     0.93654,     0.93654,     0.83621,     0.83621
01/01/2022 00:23:00,                1320,     0.94059,     0.94059,     0.84144,     0.84144
01/01/2022 00:24:00,                1380,     0.94516,     0.94516,     0.84708,     0.84708
01/01/2022 00:25:00,                1440,     0.95000,     0.95000,     0.85308,     0.85308
01/01/2022 00:26:00,                1500,     0.95525,     0.95525,     0.85942,     0.85942
01/01/2022 00:27:00,                1560,     0.96104,     0.96104,     0.86632,     0.86632
01/01/2022 00:28:00,                1620,     0.96815,     0.96815,     0.87445,     0.87444
01/01/2022 00:29:00,                1680,     0.97702,     0.97702,     0.88427,     0.88426
01/01/2022 00:30:00,                1740,     0.99057,     0.99057,     0.89840,     0.89840
01/01/2022 00:31:00,                1800,     1.00000,     1.00000,     0.91015,     0.91017
01/01/2022 00:32:00,                1860,     1.00000,     1.00000,     0.91123,     0.91123
01/01/2022 00:33:00,                1920,     1.00000,     1.00000,     0.91239,     0.91240
01/01/2022 00:34:00,                1980,     1.00000,     1.00000,     0.91355,     0.91355
01/01/2022 00:35:00,                2040,     1.00000,     1.00000,     0.91470,     0.91471
01/01/2022 00:36:00,                2100,     1.00000,     1.00000,     0.91585,     0.91586
01/01/2022 00:37:00,                2160,     1.00000,     1.00000,     0.91700,     0.91701
01/01/2022 00:38:00,                2220,     1.00000,     1.00000,     0.91815,     0.91815
01/01/2022 00:39:00,                2280,     1.00000,     1.00000,     0.91929,     0.91930
01/01/2022 00:40:00,                2340,     1.00000,     1.00000,     0.92036,     0.92036
01/01/2022 00:41:00,                2400,     1.00000,     1.00000,     0.92131,     0.92132
01/01/2022 00:42:00,                2460,     1.00000,     1.00000,     0.92227,     0.92228
01/01/2022 00:43:00,                2520,     1.00000,     1.00000,     0.92322,     0.92323
01/01/2022 00:44:00,                2580,     1.00000,     1.00000,     0.92417,     0.92418
01/01/2022 00:45:00,                2640,     1.00000,     1.00000,     0.92512,     0.92513
01/01/2022 00:46:00,                2700,     1.00000,     1.00000,     0.92607,     0.92608
01/01/2022 00:47:00,                2760,     1.00000,     1.00000,     0.92703,     0.92703
01/01/2022 00:48:00,                2820,     1.00000,     1.00000,     0.92798,     0.92798
01/01/2022 00:49:00,                2880,     1.00000,     1.00000,     0.92893,     0.92893
01/01/2022 00:50:00,                2940,     1.00000,     1.00000,     0.92988,     0.92988
01/01/2022 00:51:00,                3000,     1.00000,     1.00000,     0.93083,     0.93083
01/01/2022 00:52:00,                3060,     1.00000,     1.00000,     0.93178,     0.93178
01/01/2022 00:53:00,                3120,     1.00000,     1.00000,     0.93273,     0.93273
01/01/2022 00:54:00,                3180,     1.00000,     1.00000,     0.93368,     0.93368
01/01/2022 00:55:00,                3240,     1.00000,     1.00000,     0.93463,     0.93463
01/01/2022 00:56:00,                3300,     1.00000,     1.00000,     0.93558,     0.93558
01/01/2022 00:57:00,                3360,     1.00000,     1.00000,     0.93653,     0.93654
01/01/2022 00:58:00,                3420,     1.00000,     1.00000,     0.93748,     0.93749
01/01/2022 00:59:00,                3480,     1.00000,     1.00000,     0.93843,     0.93844
