Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     3.02567,     3.02567,     2.95380,     2.95376
01/01/2022 00:02:00,                  60,     3.04399,     3.04399,     3.03581,     3.03581
01/01/2022 00:03:00,                 120,     3.06713,     3.06714,     3.06096,     3.06096
01/01/2022 00:04:00,                 180,     3.09043,     3.09043,     3.08376,     3.08376
01/01/2022 00:05:00,                 240,     3.11378,     3.11378,     3.10713,     3.10713
01/01/2022 00:06:00,                 300,     3.13714,     3.13714,     3.13053,     3.13053
01/01/2022 00:07:00,                 360,     3.16050,     3.16050,     3.15395,     3.15395
01/01/2022 00:08:00,                 420,     3.18385,     3.18385,     3.17694,     3.17694
01/01/2022 00:09:00,                 480,     3.20721,     3.20721,     3.20036,     3.20036
01/01/2022 00:10:00,                 540,     3.23057,     3.23057,     3.22368,     3.22368
01/01/2022 00:11:00,                 600,     3.25385,     3.25385,     3.24699,     3.24699
01/01/2022 00:12:00,                 660,     3.27721,     3.27721,     3.27005,     3.27005
01/01/2022 00:13:00,                 720,     3.30058,     3.30058,     3.29348,     3.29348
01/01/2022 00:14:00,                 780,     3.32394,     3.32394,     3.31691,     3.31691
01/01/2022 00:15:00,                 840,     3.34730,     3.34730,     3.33972,     3.33972
01/01/2022 00:16:00,                 900,     3.37066,     3.37066,     3.36311,     3.36311
01/01/2022 00:17:00,                 960,     3.39404,     3.39404,     3.38655,     3.38655
01/01/2022 00:18:00,                1020,     3.41727,     3.41727,     3.40949,     3.40949
01/01/2022 00:19:00,                1080,     3.44064,     3.44064,     3.43272,     3.43272
01/01/2022 00:20:00,                1140,     3.46402,     3.46402,     3.45603,     3.45603
01/01/2022 00:21:00,                1200,     3.48738,     3.48738,     3.47880,     3.47880
01/01/2022 00:22:00,                1260,     3.51077,     3.51077,     3.50220,     3.50220
01/01/2022 00:23:00,                1320,     3.53395,     3.53395,     3.52547,     3.52547
01/01/2022 00:24:00,                1380,     3.55733,     3.55733,     3.54770,     3.54770
01/01/2022 00:25:00,                1440,     3.58075,     3.58075,     3.57130,     3.57130
01/01/2022 00:26:00,                1500,     3.60414,     3.60414,     3.59384,     3.59384
01/01/2022 00:27:00,                1560,     3.62709,     3.62710,     3.61640,     3.61640
01/01/2022 00:28:00,                1620,     3.65056,     3.65056,     3.63756,     3.63756
01/01/2022 00:29:00,                1680,     3.67397,     3.67397,     3.65712,     3.65712
01/01/2022 00:30:00,                1740,     3.69556,     3.69556,     3.66826,     3.66826
01/01/2022 00:31:00,                1800,     3.71996,     3.71988,     3.71527,     3.71579
01/01/2022 00:32:00,                1860,     3.74292,     3.74290,     3.73760,     3.73766
01/01/2022 00:33:00,                1920,     3.76628,     3.76625,     3.76139,     3.76147
01/01/2022 00:34:00,                1980,     3.78963,     3.78961,     3.78509,     3.78517
01/01/2022 00:35:00,                2040,     3.81299,     3.81296,     3.80872,     3.80880
01/01/2022 00:36:00,                2100,     3.83634,     3.83632,     3.83228,     3.83237
01/01/2022 00:37:00,                2160,     3.85970,     3.85967,     3.85581,     3.85590
01/01/2022 00:38:00,                2220,     3.88305,     3.88302,     3.87930,     3.87939
01/01/2022 00:39:00,                2280,     3.90640,     3.90637,     3.90276,     3.90285
01/01/2022 00:40:00,                2340,     3.92973,     3.92970,     3.92606,     3.92616
01/01/2022 00:41:00,                2400,     3.95308,     3.95305,     3.94948,     3.94957
01/01/2022 00:42:00,                2460,     3.97643,     3.97640,     3.97305,     3.97314
01/01/2022 00:43:00,                2520,     3.99978,     3.99975,     3.99642,     3.99651
01/01/2022 00:44:00,                2580,     4.02313,     4.02311,     4.01978,     4.01988
01/01/2022 00:45:00,                2640,     4.04648,     4.04646,     4.04315,     4.04324
01/01/2022 00:46:00,                2700,     4.06983,     4.06981,     4.06651,     4.06660
01/01/2022 00:47:00,                2760,     4.09318,     4.09316,     4.08987,     4.08997
01/01/2022 00:48:00,                2820,     4.11654,     4.11651,     4.11324,     4.11333
01/01/2022 00:49:00,                2880,     4.13989,     4.13986,     4.13660,     4.13670
01/01/2022 00:50:00,                2940,     4.16324,     4.16321,     4.15997,     4.16006
01/01/2022 00:51:00,                3000,     4.18658,     4.18656,     4.18332,     4.18341
01/01/2022 00:52:00,                3060,     4.20994,     4.20991,     4.20669,     4.20678
01/01/2022 00:53:00,                3120,     4.23329,     4.23326,     4.23005,     4.23014
01/01/2022 00:54:00,                3180,     4.25664,     4.25661,     4.25342,     4.25351
01/01/2022 00:55:00,                3240,     4.27999,     4.27996,     4.27678,     4.27687
01/01/2022 00:56:00,                3300,     4.30334,     4.30331,     4.30015,     4.30024
01/01/2022 00:57:00,                3360,     4.32669,     4.32666,     4.32352,     4.32360
01/01/2022 00:58:00,                3420,     4.35004,     4.35001,     4.34688,     4.34697
01/01/2022 00:59:00,                3480,     4.37339,     4.37336,     4.37025,     4.37033
01/01/2022 01:00:00,                3540,     4.39674,     4.39671,     4.39361,     4.39370
01/01/2022 01:01:00,                3600,     4.42007,     4.42004,     4.41685,     4.41694
01/01/2022 01:02:00,                3660,     4.44342,     4.44339,     4.44021,     4.44030
01/01/2022 01:03:00,                3720,     4.46677,     4.46674,     4.46357,     4.46366
01/01/2022 01:04:00,                3780,     4.49012,     4.49009,     4.48693,     4.48702
01/01/2022 01:05:00,                3840,     4.51347,     4.51344,     4.51029,     4.51038
01/01/2022 01:06:00,                3900,     4.53682,     4.53679,     4.53366,     4.53375
01/01/2022 01:07:00,                3960,     4.56017,     4.56014,     4.55702,     4.55711
01/01/2022 01:08:00,                4020,     4.58352,     4.58349,     4.58039,     4.58047
01/01/2022 01:09:00,                4080,     4.60687,     4.60684,     4.60375,     4.60383
01/01/2022 01:10:00,                4140,     4.63022,     4.63019,     4.62711,     4.62720
01/01/2022 01:11:00,                4200,     4.65357,     4.65354,     4.65048,     4.65056
01/01/2022 01:12:00,                4260,     4.67692,     4.67689,     4.67384,     4.67392
01/01/2022 01:13:00,                4320,     4.70026,     4.70023,     4.69720,     4.69728
01/01/2022 01:14:00,                4380,     4.72361,     4.72358,     4.72056,     4.72065
01/01/2022 01:15:00,                4440,     4.74696,     4.74693,     4.74392,     4.74401
01/01/2022 01:16:00,                4500,     4.77031,     4.77028,     4.76728,     4.76737
01/01/2022 01:17:00,                4560,     4.79366,     4.79363,     4.79065,     4.79073
01/01/2022 01:18:00,                4620,     4.81701,     4.81698,     4.81401,     4.81409
01/01/2022 01:19:00,                4680,     4.84036,     4.84033,     4.83738,     4.83746
01/01/2022 01:20:00,                4740,     4.86371,     4.86368,     4.86074,     4.86082
01/01/2022 01:21:00,                4800,     4.88706,     4.88703,     4.88411,     4.88419
01/01/2022 01:22:00,                4860,     4.91041,     4.91038,     4.90747,     4.90755
01/01/2022 01:23:00,                4920,     4.93376,     4.93373,     4.93084,     4.93091
01/01/2022 01:24:00,                4980,     4.95711,     4.95708,     4.95420,     4.95428
01/01/2022 01:25:00,                5040,     4.98046,     4.98043,     4.97756,     4.97764
01/01/2022 01:26:00,                5100,     5.00381,     5.00378,     5.00093,     5.00101
