Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,    71.92250,    71.92266,    63.53608,    63.53563
01/01/2022 00:02:00,                  60,    71.01078,    71.01079,    63.16133,    63.16132
01/01/2022 00:03:00,                 120,    71.26964,    71.26965,    63.56002,    63.56001
01/01/2022 00:04:00,                 180,    71.47441,    71.47441,    63.88560,    63.88559
01/01/2022 00:05:00,                 240,    71.68696,    71.68697,    64.22229,    64.22228
01/01/2022 00:06:00,                 300,    71.90103,    71.90103,    64.56061,    64.56061
01/01/2022 00:07:00,                 360,    72.11518,    72.11519,    64.89514,    64.89513
01/01/2022 00:08:00,                 420,    72.32863,    72.32863,    65.21625,    65.21625
01/01/2022 00:09:00,                 480,    72.54726,    72.54726,    65.54460,    65.54460
01/01/2022 00:10:00,                 540,    72.76661,    72.76661,    65.87316,    65.87316
01/01/2022 00:11:00,                 600,    72.98825,    72.98825,    66.20413,    66.20412
01/01/2022 00:12:00,                 660,    73.21323,    73.21324,    66.53690,    66.53690
01/01/2022 00:13:00,                 720,    73.44144,    73.44144,    66.87486,    66.87485
01/01/2022 00:14:00,                 780,    73.67010,    73.67010,    67.21323,    67.21322
01/01/2022 00:15:00,                 840,    73.89827,    73.89828,    67.54613,    67.54613
01/01/2022 00:16:00,                 900,    74.13746,    74.13746,    67.89075,    67.89075
01/01/2022 00:17:00,                 960,    74.37754,    74.37754,    68.23653,    68.23653
01/01/2022 00:18:00,                1020,    74.61565,    74.61566,    68.57804,    68.57803
01/01/2022 00:19:00,                1080,    74.86433,    74.86434,    68.93147,    68.93146
01/01/2022 00:20:00,                1140,    75.12141,    75.12141,    69.29353,    69.29352
01/01/2022 00:21:00,                1200,    75.37717,    75.37718,    69.65187,    69.65186
01/01/2022 00:22:00,                1260,    75.64623,    75.64623,    70.02636,    70.02635
01/01/2022 00:23:00,                1320,    75.91476,    75.91477,    70.38872,    70.38871
01/01/2022 00:24:00,                1380,    76.20030,    76.20031,    70.75909,    70.75907
01/01/2022 00:25:00,                1440,    76.50270,    76.50270,    71.15214,    71.15212
01/01/2022 00:26:00,                1500,    76.80562,    76.80563,    71.54134,    71.54133
01/01/2022 00:27:00,                1560,    77.13248,    77.13249,    71.95536,    71.95535
01/01/2022 00:28:00,                1620,    77.49409,    77.49410,    72.39709,    72.39707
01/01/2022 00:29:00,                1680,    77.89290,    77.89293,    72.87057,    72.87054
01/01/2022 00:30:00,                1740,    78.36815,    78.36820,    73.39158,    73.39152
01/01/2022 00:31:00,                1800,    78.54857,    78.54857,    73.75410,    73.75593
01/01/2022 00:32:00,                1860,    78.54857,    78.54857,    73.83502,    73.83528
01/01/2022 00:33:00,                1920,    78.54857,    78.54857,    73.92198,    73.92228
01/01/2022 00:34:00,                1980,    78.54857,    78.54857,    74.00859,    74.00890
01/01/2022 00:35:00,                2040,    78.54857,    78.54857,    74.09492,    74.09525
01/01/2022 00:36:00,                2100,    78.54857,    78.54857,    74.18105,    74.18137
01/01/2022 00:37:00,                2160,    78.54857,    78.54857,    74.26701,    74.26735
01/01/2022 00:38:00,                2220,    78.54857,    78.54857,    74.35284,    74.35318
01/01/2022 00:39:00,                2280,    78.54857,    78.54857,    74.43859,    74.43892
01/01/2022 00:40:00,                2340,    78.54857,    78.54857,    74.51737,    74.51764
01/01/2022 00:41:00,                2400,    78.54857,    78.54857,    74.58566,    74.58594
01/01/2022 00:42:00,                2460,    78.54857,    78.54857,    74.65439,    74.65469
01/01/2022 00:43:00,                2520,    78.54857,    78.54857,    74.72254,    74.72283
