Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     2.18546,     2.18472,     1.77542,     1.77541
01/01/2022 00:02:00,                  60,     2.19037,     2.18960,     1.75332,     1.75332
01/01/2022 00:03:00,                 120,     2.19901,     2.19824,     1.75933,     1.75933
01/01/2022 00:04:00,                 180,     2.20723,     2.20645,     1.76416,     1.76416
01/01/2022 00:05:00,                 240,     2.21560,     2.21481,     1.76920,     1.76920
01/01/2022 00:06:00,                 300,     2.22399,     2.22320,     1.77427,     1.77427
01/01/2022 00:07:00,                 360,     2.23238,     2.23157,     1.77934,     1.77934
01/01/2022 00:08:00,                 420,     2.24088,     2.24006,     1.78457,     1.78457
01/01/2022 00:09:00,                 480,     2.24949,     2.24866,     1.78994,     1.78994
01/01/2022 00:10:00,                 540,     2.25808,     2.25724,     1.79534,     1.79534
01/01/2022 00:11:00,                 600,     2.26679,     2.26594,     1.80082,     1.80082
01/01/2022 00:12:00,                 660,     2.27605,     2.27519,     1.80654,     1.80654
01/01/2022 00:13:00,                 720,     2.28532,     2.28446,     1.81233,     1.81233
01/01/2022 00:14:00,                 780,     2.29458,     2.29370,     1.81814,     1.81814
01/01/2022 00:15:00,                 840,     2.30397,     2.30308,     1.82415,     1.82415
01/01/2022 00:16:00,                 900,     2.31361,     2.31271,     1.83054,     1.83054
01/01/2022 00:17:00,                 960,     2.32323,     2.32232,     1.83695,     1.83695
01/01/2022 00:18:00,                1020,     2.33340,     2.33248,     1.84346,     1.84346
01/01/2022 00:19:00,                1080,     2.34423,     2.34330,     1.85040,     1.85040
01/01/2022 00:20:00,                1140,     2.35515,     2.35421,     1.85757,     1.85757
01/01/2022 00:21:00,                1200,     2.36631,     2.36535,     1.86504,     1.86504
01/01/2022 00:22:00,                1260,     2.37785,     2.37688,     1.87308,     1.87308
01/01/2022 00:23:00,                1320,     2.38962,     2.38864,     1.88118,     1.88118
01/01/2022 00:24:00,                1380,     2.40338,     2.40238,     1.89031,     1.89031
01/01/2022 00:25:00,                1440,     2.41745,     2.41643,     1.90000,     1.90000
01/01/2022 00:26:00,                1500,     2.43223,     2.43120,     1.91049,     1.91049
01/01/2022 00:27:00,                1560,     2.44849,     2.44744,     1.92207,     1.92207
01/01/2022 00:28:00,                1620,     2.47000,     2.46894,     1.93629,     1.93629
01/01/2022 00:29:00,                1680,     2.49529,     2.49420,     1.95404,     1.95404
01/01/2022 00:30:00,                1740,     2.55578,     2.55461,     1.98112,     1.98112
01/01/2022 00:31:00,                1800,     2.83408,     2.68108,     2.07247,     2.07263
01/01/2022 00:32:00,                1860,     2.85866,     2.70463,     2.08836,     2.08841
01/01/2022 00:33:00,                1920,     2.88447,     2.72922,     2.10526,     2.10532
01/01/2022 00:34:00,                1980,     2.91032,     2.75386,     2.12216,     2.12222
01/01/2022 00:35:00,                2040,     2.93624,     2.77857,     2.13908,     2.13915
01/01/2022 00:36:00,                2100,     2.96223,     2.80335,     2.15603,     2.15610
01/01/2022 00:37:00,                2160,     2.98831,     2.82822,     2.17302,     2.17308
01/01/2022 00:38:00,                2220,     3.01448,     2.85318,     2.19004,     2.19011
01/01/2022 00:39:00,                2280,     3.04074,     2.87823,     2.20712,     2.20719
01/01/2022 00:40:00,                2340,     3.06719,     2.90348,     2.22436,     2.22443
