Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     6.48044,     6.48007,     0.75460,     0.75460
01/01/2022 00:02:00,                  60,     6.47184,     6.47146,     0.74984,     0.74984
01/01/2022 00:03:00,                 120,     6.47917,     6.47879,     0.75439,     0.75439
01/01/2022 00:04:00,                 180,     6.48569,     6.48530,     0.75821,     0.75821
01/01/2022 00:05:00,                 240,     6.49240,     6.49201,     0.76216,     0.76216
01/01/2022 00:06:00,                 300,     6.49913,     6.49873,     0.76613,     0.76613
01/01/2022 00:07:00,                 360,     6.50586,     6.50545,     0.77006,     0.77006
01/01/2022 00:08:00,                 420,     6.51272,     6.51232,     0.77395,     0.77395
01/01/2022 00:09:00,                 480,     6.51972,     6.51930,     0.77794,     0.77794
01/01/2022 00:10:00,                 540,     6.52671,     6.52629,     0.78193,     0.78193
01/01/2022 00:11:00,                 600,     6.53381,     6.53338,     0.78596,     0.78596
01/01/2022 00:12:00,                 660,     6.54129,     6.54086,     0.79010,     0.79010
01/01/2022 00:13:00,                 720,     6.54883,     6.54839,     0.79430,     0.79430
01/01/2022 00:14:00,                 780,     6.55636,     6.55592,     0.79850,     0.79850
01/01/2022 00:15:00,                 840,     6.56406,     6.56361,     0.80277,     0.80277
01/01/2022 00:16:00,                 900,     6.57208,     6.57163,     0.80726,     0.80726
01/01/2022 00:17:00,                 960,     6.58009,     6.57963,     0.81177,     0.81177
01/01/2022 00:18:00,                1020,     6.58843,     6.58797,     0.81629,     0.81629
01/01/2022 00:19:00,                1080,     6.59732,     6.59685,     0.82105,     0.82105
01/01/2022 00:20:00,                1140,     6.60636,     6.60589,     0.82593,     0.82593
01/01/2022 00:21:00,                1200,     6.61567,     6.61520,     0.83093,     0.83093
01/01/2022 00:22:00,                1260,     6.62547,     6.62498,     0.83625,     0.83625
01/01/2022 00:23:00,                1320,     6.63540,     6.63491,     0.84147,     0.84147
01/01/2022 00:24:00,                1380,     6.64684,     6.64635,     0.84712,     0.84712
01/01/2022 00:25:00,                1440,     6.65872,     6.65821,     0.85311,     0.85311
01/01/2022 00:26:00,                1500,     6.67136,     6.67084,     0.85946,     0.85946
01/01/2022 00:27:00,                1560,     6.68528,     6.68476,     0.86635,     0.86635
01/01/2022 00:28:00,                1620,     6.70315,     6.70261,     0.87449,     0.87449
01/01/2022 00:29:00,                1680,     6.72467,     6.72412,     0.88433,     0.88433
01/01/2022 00:30:00,                1740,     6.76845,     6.76787,     0.89841,     0.89841
01/01/2022 00:31:00,                1800,     6.95336,     6.87677,     0.94638,     0.94649
01/01/2022 00:32:00,                1860,     6.97354,     6.89649,     0.95541,     0.95544
01/01/2022 00:33:00,                1920,     6.99489,     6.91724,     0.96503,     0.96506
01/01/2022 00:34:00,                1980,     7.01627,     6.93801,     0.97463,     0.97467
01/01/2022 00:35:00,                2040,     7.03769,     6.95882,     0.98425,     0.98428
01/01/2022 00:36:00,                2100,     7.05917,     6.97969,     0.99387,     0.99391
01/01/2022 00:37:00,                2160,     7.08070,     7.00062,     1.00351,     1.00355
01/01/2022 00:38:00,                2220,     7.10229,     7.02161,     1.01317,     1.01321
01/01/2022 00:39:00,                2280,     7.12396,     7.04267,     1.02286,     1.02290
01/01/2022 00:40:00,                2340,     7.14581,     7.06392,     1.03254,     1.03258
01/01/2022 00:41:00,                2400,     7.16810,     7.08560,     1.04232,     1.04236
01/01/2022 00:42:00,                2460,     7.19059,     7.10749,     1.05219,     1.05223
01/01/2022 00:43:00,                2520,     7.21302,     7.12932,     1.06202,     1.06206
01/01/2022 00:44:00,                2580,     7.23556,     7.15126,     1.07188,     1.07192
01/01/2022 00:45:00,                2640,     7.25819,     7.17329,     1.08178,     1.08182
01/01/2022 00:46:00,                2700,     7.28093,     7.19543,     1.09172,     1.09176
01/01/2022 00:47:00,                2760,     7.30376,     7.21766,     1.10170,     1.10174
01/01/2022 00:48:00,                2820,     7.32668,     7.23999,     1.11171,     1.11175
01/01/2022 00:49:00,                2880,     7.34971,     7.26241,     1.12176,     1.12180
01/01/2022 00:50:00,                2940,     7.37283,     7.28494,     1.13185,     1.13189
01/01/2022 00:51:00,                3000,     7.39607,     7.30759,     1.14199,     1.14203
01/01/2022 00:52:00,                3060,     7.41943,     7.33035,     1.15217,     1.15221
01/01/2022 00:53:00,                3120,     7.44287,     7.35320,     1.16238,     1.16242
01/01/2022 00:54:00,                3180,     7.46641,     7.37614,     1.17263,     1.17267
01/01/2022 00:55:00,                3240,     7.49004,     7.39918,     1.18292,     1.18296
01/01/2022 00:56:00,                3300,     7.51376,     7.42231,     1.19323,     1.19328
01/01/2022 00:57:00,                3360,     7.53758,     7.44553,     1.20359,     1.20363
01/01/2022 00:58:00,                3420,     7.56148,     7.46884,     1.21397,     1.21401
01/01/2022 00:59:00,                3480,     7.58547,     7.49224,     1.22439,     1.22443
01/01/2022 01:00:00,                3540,     7.60954,     7.51573,     1.23484,     1.23488
01/01/2022 01:01:00,                3600,     7.63382,     7.53941,     1.24529,     1.24533
01/01/2022 01:02:00,                3660,     7.65859,     7.56360,     1.25582,     1.25587
01/01/2022 01:03:00,                3720,     7.68346,     7.58788,     1.26640,     1.26644
01/01/2022 01:04:00,                3780,     7.70843,     7.61227,     1.27701,     1.27705
01/01/2022 01:05:00,                3840,     7.73351,     7.63676,     1.28766,     1.28771
01/01/2022 01:06:00,                3900,     7.75868,     7.66135,     1.29836,     1.29840
01/01/2022 01:07:00,                3960,     7.78396,     7.68605,     1.30909,     1.30913
