Time,Seconds,forcemain,gravity,Link2,Link2.1
01/01/2022 00:01:00,                   0,     4.10710,     4.10709,     4.64716,     4.64713
01/01/2022 00:02:00,                  60,     4.17071,     4.17072,     4.80644,     4.80644
01/01/2022 00:03:00,                 120,     4.19094,     4.19094,     4.81586,     4.81586
01/01/2022 00:04:00,                 180,     4.21398,     4.21398,     4.82667,     4.82667
01/01/2022 00:05:00,                 240,     4.23674,     4.23674,     4.83768,     4.83768
01/01/2022 00:06:00,                 300,     4.25933,     4.25933,     4.84880,     4.84880
01/01/2022 00:07:00,                 360,     4.28183,     4.28183,     4.86006,     4.86006
01/01/2022 00:08:00,                 420,     4.30393,     4.30393,     4.87085,     4.87085
01/01/2022 00:09:00,                 480,     4.32568,     4.32568,     4.88156,     4.88156
01/01/2022 00:10:00,                 540,     4.34730,     4.34730,     4.89242,     4.89242
01/01/2022 00:11:00,                 600,     4.36867,     4.36867,     4.90339,     4.90339
01/01/2022 00:12:00,                 660,     4.39032,     4.39032,     4.91327,     4.91327
01/01/2022 00:13:00,                 720,     4.41174,     4.41174,     4.92323,     4.92323
01/01/2022 00:14:00,                 780,     4.43305,     4.43305,     4.93304,     4.93304
01/01/2022 00:15:00,                 840,     4.45392,     4.45392,     4.94200,     4.94200
01/01/2022 00:16:00,                 900,     4.47405,     4.47405,     4.95071,     4.95071
01/01/2022 00:17:00,                 960,     4.49404,     4.49404,     4.95932,     4.95932
01/01/2022 00:18:00,                1020,     4.51429,     4.51429,     4.96700,     4.96700
01/01/2022 00:19:00,                1080,     4.53459,     4.53459,     4.97399,     4.97399
01/01/2022 00:20:00,                1140,     4.55445,     4.55446,     4.98140,     4.98140
01/01/2022 00:21:00,                1200,     4.57375,     4.57375,     4.98734,     4.98734
01/01/2022 00:22:00,                1260,     4.59211,     4.59211,     4.99241,     4.99241
01/01/2022 00:23:00,                1320,     4.61028,     4.61028,     4.99802,     4.99802
01/01/2022 00:24:00,                1380,     4.62882,     4.62882,     5.00085,     5.00085
01/01/2022 00:25:00,                1440,     4.64658,     4.64658,     5.00380,     5.00380
01/01/2022 00:26:00,                1500,     4.66316,     4.66316,     5.00351,     5.00351
01/01/2022 00:27:00,                1560,     4.67826,     4.67826,     5.00256,     5.00256
01/01/2022 00:28:00,                1620,     4.69405,     4.69405,     4.99423,     4.99423
01/01/2022 00:29:00,                1680,     4.70610,     4.70610,     4.97744,     4.97744
01/01/2022 00:30:00,                1740,     4.71557,     4.71557,     4.93325,     4.93326
01/01/2022 00:31:00,                1800,     4.73587,     4.73577,     4.95087,     4.95146
01/01/2022 00:32:00,                1860,     4.76511,     4.76508,     4.97648,     4.97656
01/01/2022 00:33:00,                1920,     4.79484,     4.79481,     5.00370,     5.00379
01/01/2022 00:34:00,                1980,     4.82458,     4.82454,     5.03076,     5.03086
01/01/2022 00:35:00,                2040,     4.85431,     4.85428,     5.05769,     5.05779
01/01/2022 00:36:00,                2100,     4.88404,     4.88401,     5.08451,     5.08461
01/01/2022 00:37:00,                2160,     4.91377,     4.91374,     5.11123,     5.11133
01/01/2022 00:38:00,                2220,     4.94350,     4.94347,     5.13787,     5.13797
01/01/2022 00:39:00,                2280,     4.97323,     4.97320,     5.16443,     5.16453
01/01/2022 00:40:00,                2340,     5.00293,     5.00290,     5.19120,     5.19131
01/01/2022 00:41:00,                2400,     5.03266,     5.03262,     5.21882,     5.21893
01/01/2022 00:42:00,                2460,     5.06239,     5.06235,     5.24658,     5.24669
01/01/2022 00:43:00,                2520,     5.09211,     5.09208,     5.27407,     5.27419
01/01/2022 00:44:00,                2580,     5.12184,     5.12181,     5.30153,     5.30164
01/01/2022 00:45:00,                2640,     5.15157,     5.15153,     5.32894,     5.32905
01/01/2022 00:46:00,                2700,     5.18130,     5.18126,     5.35632,     5.35643
01/01/2022 00:47:00,                2760,     5.21102,     5.21099,     5.38367,     5.38378
01/01/2022 00:48:00,                2820,     5.24075,     5.24072,     5.41098,     5.41109
01/01/2022 00:49:00,                2880,     5.27048,     5.27044,     5.43826,     5.43837
01/01/2022 00:50:00,                2940,     5.30021,     5.30017,     5.46550,     5.46561
01/01/2022 00:51:00,                3000,     5.32993,     5.32990,     5.49270,     5.49280
01/01/2022 00:52:00,                3060,     5.35966,     5.35962,     5.51987,     5.51998
01/01/2022 00:53:00,                3120,     5.38939,     5.38935,     5.54701,     5.54712
01/01/2022 00:54:00,                3180,     5.41912,     5.41908,     5.57412,     5.57422
01/01/2022 00:55:00,                3240,     5.44884,     5.44881,     5.60119,     5.60129
01/01/2022 00:56:00,                3300,     5.47857,     5.47853,     5.62823,     5.62833
01/01/2022 00:57:00,                3360,     5.50830,     5.50826,     5.65523,     5.65533
01/01/2022 00:58:00,                3420,     5.53803,     5.53799,     5.68220,     5.68230
01/01/2022 00:59:00,                3480,     5.56775,     5.56772,     5.70913,     5.70923
01/01/2022 01:00:00,                3540,     5.59748,     5.59745,     5.73604,     5.73614
01/01/2022 01:01:00,                3600,     5.62718,     5.62715,     5.76321,     5.76331
01/01/2022 01:02:00,                3660,     5.65691,     5.65687,     5.79134,     5.79145
01/01/2022 01:03:00,                3720,     5.68663,     5.68660,     5.81947,     5.81958
01/01/2022 01:04:00,                3780,     5.71636,     5.71632,     5.84757,     5.84768
01/01/2022 01:05:00,                3840,     5.74609,     5.74605,     5.87565,     5.87576
01/01/2022 01:06:00,                3900,     5.77581,     5.77577,     5.90371,     5.90382
01/01/2022 01:07:00,                3960,     5.80554,     5.80550,     5.93174,     5.93185
01/01/2022 01:08:00,                4020,     5.83527,     5.83523,     5.95976,     5.95986
01/01/2022 01:09:00,                4080,     5.86499,     5.86495,     5.98775,     5.98785
01/01/2022 01:10:00,                4140,     5.89472,     5.89468,     6.01571,     6.01582
01/01/2022 01:11:00,                4200,     5.92444,     5.92441,     6.04366,     6.04376
01/01/2022 01:12:00,                4260,     5.95417,     5.95413,     6.07158,     6.07168
01/01/2022 01:13:00,                4320,     5.98390,     5.98386,     6.09948,     6.09958
01/01/2022 01:14:00,                4380,     6.01362,     6.01359,     6.12736,     6.12746
01/01/2022 01:15:00,                4440,     6.04335,     6.04331,     6.15521,     6.15531
01/01/2022 01:16:00,                4500,     6.07307,     6.07304,     6.18304,     6.18314
01/01/2022 01:17:00,                4560,     6.10280,     6.10276,     6.21085,     6.21095
01/01/2022 01:18:00,                4620,     6.13253,     6.13249,     6.23864,     6.23874
01/01/2022 01:19:00,                4680,     6.16225,     6.16222,     6.26641,     6.26651
01/01/2022 01:20:00,                4740,     6.19198,     6.19194,     6.29416,     6.29425
01/01/2022 01:21:00,                4800,     6.22171,     6.22167,     6.32188,     6.32197
01/01/2022 01:22:00,                4860,     6.25143,     6.25140,     6.34958,     6.34967
01/01/2022 01:23:00,                4920,     6.28116,     6.28112,     6.37726,     6.37735
01/01/2022 01:24:00,                4980,     6.31089,     6.31085,     6.40492,     6.40501
01/01/2022 01:25:00,                5040,     6.34061,     6.34058,     6.43255,     6.43264
01/01/2022 01:26:00,                5100,     6.37034,     6.37030,     6.46017,     6.46026
01/01/2022 01:27:00,                5160,     6.40007,     6.40003,     6.48776,     6.48785
01/01/2022 01:28:00,                5220,     6.42979,     6.42976,     6.51533,     6.51542
01/01/2022 01:29:00,                5280,     6.45949,     6.45945,     6.54311,     6.54320
01/01/2022 01:30:00,                5340,     6.48921,     6.48917,     6.57203,     6.57213
01/01/2022 01:31:00,                5400,     6.51893,     6.51889,     6.60097,     6.60107
01/01/2022 01:32:00,                5460,     6.54866,     6.54862,     6.62990,     6.62999
01/01/2022 01:33:00,                5520,     6.57838,     6.57834,     6.65882,     6.65891
01/01/2022 01:34:00,                5580,     6.60810,     6.60807,     6.68772,     6.68782
01/01/2022 01:35:00,                5640,     6.63783,     6.63779,     6.71662,     6.71672
01/01/2022 01:36:00,                5700,     6.66755,     6.66751,     6.74551,     6.74560
01/01/2022 01:37:00,                5760,     6.69727,     6.69724,     6.77439,     6.77448
01/01/2022 01:38:00,                5820,     6.72700,     6.72696,     6.80325,     6.80335
01/01/2022 01:39:00,                5880,     6.75672,     6.75668,     6.83211,     6.83220
01/01/2022 01:40:00,                5940,     6.78645,     6.78641,     6.86096,     6.86105
01/01/2022 01:41:00,                6000,     6.81617,     6.81613,     6.88979,     6.88988
01/01/2022 01:42:00,                6060,     6.84589,     6.84585,     6.91862,     6.91871
01/01/2022 01:43:00,                6120,     6.87562,     6.87558,     6.94743,     6.94752
01/01/2022 01:44:00,                6180,     6.90534,     6.90530,     6.97623,     6.97632
01/01/2022 01:45:00,                6240,     6.93506,     6.93503,     7.00503,     7.00512
01/01/2022 01:46:00,                6300,     6.96479,     6.96475,     7.03381,     7.03390
01/01/2022 01:47:00,                6360,     6.99451,     6.99447,     7.06259,     7.06267
01/01/2022 01:48:00,                6420,     7.02423,     7.02420,     7.09135,     7.09144
01/01/2022 01:49:00,                6480,     7.05396,     7.05392,     7.12010,     7.12019
01/01/2022 01:50:00,                6540,     7.08368,     7.08364,     7.14884,     7.14893
01/01/2022 01:51:00,                6600,     7.11341,     7.11337,     7.17758,     7.17766
01/01/2022 01:52:00,                6660,     7.14313,     7.14309,     7.20630,     7.20638
01/01/2022 01:53:00,                6720,     7.17285,     7.17281,     7.23500,     7.23509
01/01/2022 01:54:00,                6780,     7.20257,     7.20254,     7.26370,     7.26379
01/01/2022 01:55:00,                6840,     7.23230,     7.23226,     7.29239,     7.29248
01/01/2022 01:56:00,                6900,     7.26202,     7.26198,     7.32107,     7.32116
01/01/2022 01:57:00,                6960,     7.29175,     7.29171,     7.34974,     7.34983
01/01/2022 01:58:00,                7020,     7.32147,     7.32143,     7.37841,     7.37849
01/01/2022 01:59:00,                7080,     7.35119,     7.35116,     7.40706,     7.40714
01/01/2022 02:00:00,                7140,     7.38092,     7.38088,     7.43570,     7.43578
01/01/2022 02:01:00,                7200,     7.41064,     7.41060,     7.46432,     7.46441
01/01/2022 02:02:00,                7260,     7.44036,     7.44033,     7.49294,     7.49302
01/01/2022 02:03:00,                7320,     7.47009,     7.47005,     7.52155,     7.52163
01/01/2022 02:04:00,                7380,     7.49981,     7.49978,     7.55015,     7.55023
01/01/2022 02:05:00,                7440,     7.52954,     7.52950,     7.57874,     7.57882
01/01/2022 02:06:00,                7500,     7.55926,     7.55922,     7.60732,     7.60740
01/01/2022 02:07:00,                7560,     7.58898,     7.58895,     7.63589,     7.63596
01/01/2022 02:08:00,                7620,     7.61871,     7.61867,     7.66444,     7.66452
01/01/2022 02:09:00,                7680,     7.64843,     7.64840,     7.69299,     7.69307
01/01/2022 02:10:00,                7740,     7.67816,     7.67812,     7.72153,     7.72160
01/01/2022 02:11:00,                7800,     7.70788,     7.70784,     7.75005,     7.75013
01/01/2022 02:12:00,                7860,     7.73760,     7.73757,     7.77857,     7.77865
01/01/2022 02:13:00,                7920,     7.76733,     7.76729,     7.80708,     7.80715
01/01/2022 02:14:00,                7980,     7.79705,     7.79702,     7.83557,     7.83565
01/01/2022 02:15:00,                8040,     7.82678,     7.82674,     7.86406,     7.86413
01/01/2022 02:16:00,                8100,     7.85650,     7.85646,     7.89254,     7.89261
01/01/2022 02:17:00,                8160,     7.87601,     7.87508,     7.87258,     7.87298
01/01/2022 02:18:00,                8220,     7.90929,     7.90573,     7.92525,     7.91201
01/01/2022 02:19:00,                8280,     7.93817,     7.93873,     7.92407,     7.92165
