Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us,Node3,Node3.1
01/01/2022 00:01:00,                   0,     0.77558,    12.21290,     0.77540,    12.18488,     0.73377,     0.73367
01/01/2022 00:02:00,                  60,     0.75329,    12.21885,     0.75332,    12.18960,     0.74637,     0.74635
01/01/2022 00:03:00,                 120,     0.75933,    12.22781,     0.75933,    12.19824,     0.74945,     0.74945
01/01/2022 00:04:00,                 180,     0.76416,    12.23639,     0.76416,    12.20645,     0.75225,     0.75225
01/01/2022 00:05:00,                 240,     0.76919,    12.24513,     0.76920,    12.21481,     0.75512,     0.75511
01/01/2022 00:06:00,                 300,     0.77426,    12.25388,     0.77427,    12.22319,     0.75799,     0.75798
01/01/2022 00:07:00,                 360,     0.77934,    12.26262,     0.77934,    12.23157,     0.76078,     0.76078
01/01/2022 00:08:00,                 420,     0.78456,    12.27149,     0.78457,    12.24006,     0.76333,     0.76333
01/01/2022 00:09:00,                 480,     0.78994,    12.28046,     0.78994,    12.24866,     0.76593,     0.76593
01/01/2022 00:10:00,                 540,     0.79534,    12.28941,     0.79534,    12.25724,     0.76851,     0.76851
01/01/2022 00:11:00,                 600,     0.80081,    12.29849,     0.80082,    12.26594,     0.77110,     0.77110
01/01/2022 00:12:00,                 660,     0.80653,    12.30813,     0.80654,    12.27519,     0.77366,     0.77366
01/01/2022 00:13:00,                 720,     0.81233,    12.31779,     0.81233,    12.28446,     0.77626,     0.77626
01/01/2022 00:14:00,                 780,     0.81814,    12.32744,     0.81814,    12.29370,     0.77886,     0.77886
01/01/2022 00:15:00,                 840,     0.82414,    12.33722,     0.82415,    12.30308,     0.78139,     0.78139
01/01/2022 00:16:00,                 900,     0.83053,    12.34725,     0.83054,    12.31271,     0.78398,     0.78398
01/01/2022 00:17:00,                 960,     0.83695,    12.35725,     0.83695,    12.32232,     0.78659,     0.78658
01/01/2022 00:18:00,                1020,     0.84345,    12.36784,     0.84346,    12.33248,     0.78913,     0.78913
01/01/2022 00:19:00,                1080,     0.85039,    12.37911,     0.85040,    12.34330,     0.79171,     0.79170
01/01/2022 00:20:00,                1140,     0.85756,    12.39048,     0.85757,    12.35421,     0.79429,     0.79429
01/01/2022 00:21:00,                1200,     0.86503,    12.40208,     0.86504,    12.36535,     0.79682,     0.79682
01/01/2022 00:22:00,                1260,     0.87307,    12.41408,     0.87308,    12.37688,     0.79942,     0.79941
01/01/2022 00:23:00,                1320,     0.88117,    12.42631,     0.88118,    12.38864,     0.80176,     0.80176
01/01/2022 00:24:00,                1380,     0.89030,    12.44062,     0.89031,    12.40238,     0.80393,     0.80393
01/01/2022 00:25:00,                1440,     0.89999,    12.45525,     0.90000,    12.41643,     0.80623,     0.80623
01/01/2022 00:26:00,                1500,     0.91048,    12.47061,     0.91049,    12.43120,     0.80843,     0.80843
01/01/2022 00:27:00,                1560,     0.92206,    12.48749,     0.92207,    12.44744,     0.81064,     0.81063
01/01/2022 00:28:00,                1620,     0.93626,    12.50990,     0.93629,    12.46894,     0.81270,     0.81270
01/01/2022 00:29:00,                1680,     0.95400,    12.53620,     0.95404,    12.49420,     0.81461,     0.81461
01/01/2022 00:30:00,                1740,     0.98098,    12.59955,     0.98112,    12.55461,     0.81570,     0.81570
01/01/2022 00:31:00,                1800,     1.07242,    12.76041,     1.07244,    12.68105,     0.82028,     0.82028
01/01/2022 00:32:00,                1860,     1.08838,    12.78483,     1.08836,    12.70463,     0.82247,     0.82247
01/01/2022 00:33:00,                1920,     1.10528,    12.81026,     1.10526,    12.72922,     0.82479,     0.82479
01/01/2022 00:34:00,                1980,     1.12218,    12.83574,     1.12216,    12.75386,     0.82711,     0.82711
01/01/2022 00:35:00,                2040,     1.13911,    12.86129,     1.13908,    12.77857,     0.82941,     0.82942
01/01/2022 00:36:00,                2100,     1.15605,    12.88692,     1.15603,    12.80335,     0.83171,     0.83172
01/01/2022 00:37:00,                2160,     1.17304,    12.91264,     1.17302,    12.82822,     0.83401,     0.83401
01/01/2022 00:38:00,                2220,     1.19007,    12.93845,     1.19004,    12.85318,     0.83630,     0.83631
01/01/2022 00:39:00,                2280,     1.20714,    12.96436,     1.20712,    12.87823,     0.83859,     0.83860
01/01/2022 00:40:00,                2340,     1.22438,    12.99047,     1.22436,    12.90348,     0.84072,     0.84073
01/01/2022 00:41:00,                2400,     1.24203,    13.01706,     1.24200,    12.92920,     0.84263,     0.84263
01/01/2022 00:42:00,                2460,     1.25986,    13.04388,     1.25983,    12.95515,     0.84455,     0.84455
01/01/2022 00:43:00,                2520,     1.27761,    13.07067,     1.27758,    12.98106,     0.84645,     0.84645
01/01/2022 00:44:00,                2580,     1.29544,    13.09759,     1.29541,    13.00711,     0.84835,     0.84835
01/01/2022 00:45:00,                2640,     1.31334,    13.12463,     1.31331,    13.03328,     0.85025,     0.85026
01/01/2022 00:46:00,                2700,     1.33132,    13.15181,     1.33129,    13.05957,     0.85215,     0.85216
01/01/2022 00:47:00,                2760,     1.34937,    13.17911,     1.34934,    13.08598,     0.85405,     0.85406
01/01/2022 00:48:00,                2820,     1.36750,    13.20653,     1.36747,    13.11251,     0.85596,     0.85596
01/01/2022 00:49:00,                2880,     1.38570,    13.23408,     1.38567,    13.13916,     0.85786,     0.85786
01/01/2022 00:50:00,                2940,     1.40397,    13.26176,     1.40394,    13.16594,     0.85976,     0.85976
01/01/2022 00:51:00,                3000,     1.42234,    13.28958,     1.42231,    13.19286,     0.86166,     0.86166
01/01/2022 00:52:00,                3060,     1.44080,    13.31755,     1.44077,    13.21992,     0.86356,     0.86356
01/01/2022 00:53:00,                3120,     1.45933,    13.34564,     1.45930,    13.24709,     0.86546,     0.86546
01/01/2022 00:54:00,                3180,     1.47793,    13.37384,     1.47790,    13.27439,     0.86736,     0.86737
01/01/2022 00:55:00,                3240,     1.49660,    13.40217,     1.49657,    13.30179,     0.86926,     0.86927
