Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us
01/01/2022 00:01:00,                   0,     3.02570,     3.02087,     3.02568,     3.02087
01/01/2022 00:02:00,                  60,     3.04398,     3.04421,     3.04399,     3.04421
01/01/2022 00:03:00,                 120,     3.06712,     3.06756,     3.06714,     3.06756
01/01/2022 00:04:00,                 180,     3.09041,     3.09091,     3.09043,     3.09091
01/01/2022 00:05:00,                 240,     3.11377,     3.11426,     3.11378,     3.11426
01/01/2022 00:06:00,                 300,     3.13712,     3.13761,     3.13714,     3.13761
01/01/2022 00:07:00,                 360,     3.16048,     3.16095,     3.16050,     3.16095
01/01/2022 00:08:00,                 420,     3.18383,     3.18430,     3.18385,     3.18430
01/01/2022 00:09:00,                 480,     3.20719,     3.20765,     3.20721,     3.20765
01/01/2022 00:10:00,                 540,     3.23055,     3.23100,     3.23057,     3.23100
01/01/2022 00:11:00,                 600,     3.25383,     3.25435,     3.25385,     3.25435
01/01/2022 00:12:00,                 660,     3.27719,     3.27770,     3.27721,     3.27770
01/01/2022 00:13:00,                 720,     3.30056,     3.30106,     3.30058,     3.30106
01/01/2022 00:14:00,                 780,     3.32392,     3.32441,     3.32394,     3.32441
01/01/2022 00:15:00,                 840,     3.34728,     3.34776,     3.34730,     3.34776
01/01/2022 00:16:00,                 900,     3.37065,     3.37111,     3.37066,     3.37111
01/01/2022 00:17:00,                 960,     3.39402,     3.39447,     3.39404,     3.39447
01/01/2022 00:18:00,                1020,     3.41724,     3.41782,     3.41727,     3.41782
01/01/2022 00:19:00,                1080,     3.44062,     3.44118,     3.44064,     3.44118
01/01/2022 00:20:00,                1140,     3.46400,     3.46453,     3.46402,     3.46453
01/01/2022 00:21:00,                1200,     3.48736,     3.48789,     3.48738,     3.48789
01/01/2022 00:22:00,                1260,     3.51075,     3.51125,     3.51077,     3.51125
01/01/2022 00:23:00,                1320,     3.53392,     3.53461,     3.53395,     3.53461
01/01/2022 00:24:00,                1380,     3.55730,     3.55798,     3.55733,     3.55798
01/01/2022 00:25:00,                1440,     3.58072,     3.58135,     3.58075,     3.58135
01/01/2022 00:26:00,                1500,     3.60411,     3.60473,     3.60414,     3.60473
01/01/2022 00:27:00,                1560,     3.62706,     3.62811,     3.62710,     3.62811
01/01/2022 00:28:00,                1620,     3.65051,     3.65152,     3.65056,     3.65152
01/01/2022 00:29:00,                1680,     3.67391,     3.67497,     3.67397,     3.67497
01/01/2022 00:30:00,                1740,     3.69540,     3.69876,     3.69556,     3.69876
01/01/2022 00:31:00,                1800,     3.71984,     3.72124,     3.71987,     3.72124
01/01/2022 00:32:00,                1860,     3.74289,     3.74458,     3.74290,     3.74458
01/01/2022 00:33:00,                1920,     3.76625,     3.76793,     3.76625,     3.76793
01/01/2022 00:34:00,                1980,     3.78960,     3.79127,     3.78961,     3.79127
01/01/2022 00:35:00,                2040,     3.81296,     3.81462,     3.81296,     3.81462
01/01/2022 00:36:00,                2100,     3.83631,     3.83797,     3.83632,     3.83797
01/01/2022 00:37:00,                2160,     3.85966,     3.86131,     3.85967,     3.86131
01/01/2022 00:38:00,                2220,     3.88302,     3.88466,     3.88302,     3.88466
01/01/2022 00:39:00,                2280,     3.90637,     3.90800,     3.90637,     3.90800
01/01/2022 00:40:00,                2340,     3.92970,     3.93135,     3.92970,     3.93135
01/01/2022 00:41:00,                2400,     3.95305,     3.95469,     3.95305,     3.95469
01/01/2022 00:42:00,                2460,     3.97640,     3.97804,     3.97640,     3.97804
