Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us,Node3,Node3.1
01/01/2022 00:01:00,                   0,     0.77541,    12.18546,     0.77542,    12.18472,     0.73379,     0.73378
01/01/2022 00:02:00,                  60,     0.75332,    12.19037,     0.75332,    12.18961,     0.74637,     0.74637
01/01/2022 00:03:00,                 120,     0.75933,    12.19901,     0.75933,    12.19824,     0.74945,     0.74945
01/01/2022 00:04:00,                 180,     0.76416,    12.20723,     0.76416,    12.20645,     0.75225,     0.75225
01/01/2022 00:05:00,                 240,     0.76920,    12.21560,     0.76920,    12.21481,     0.75512,     0.75512
01/01/2022 00:06:00,                 300,     0.77427,    12.22399,     0.77427,    12.22319,     0.75799,     0.75799
01/01/2022 00:07:00,                 360,     0.77934,    12.23238,     0.77934,    12.23157,     0.76078,     0.76078
01/01/2022 00:08:00,                 420,     0.78457,    12.24088,     0.78457,    12.24006,     0.76333,     0.76333
01/01/2022 00:09:00,                 480,     0.78994,    12.24949,     0.78994,    12.24866,     0.76593,     0.76593
01/01/2022 00:10:00,                 540,     0.79534,    12.25808,     0.79534,    12.25724,     0.76851,     0.76851
01/01/2022 00:11:00,                 600,     0.80082,    12.26679,     0.80082,    12.26594,     0.77110,     0.77110
01/01/2022 00:12:00,                 660,     0.80654,    12.27605,     0.80654,    12.27519,     0.77366,     0.77366
01/01/2022 00:13:00,                 720,     0.81233,    12.28532,     0.81233,    12.28446,     0.77626,     0.77626
01/01/2022 00:14:00,                 780,     0.81814,    12.29458,     0.81814,    12.29370,     0.77886,     0.77886
01/01/2022 00:15:00,                 840,     0.82415,    12.30397,     0.82415,    12.30308,     0.78139,     0.78139
01/01/2022 00:16:00,                 900,     0.83054,    12.31361,     0.83054,    12.31271,     0.78398,     0.78398
01/01/2022 00:17:00,                 960,     0.83695,    12.32323,     0.83695,    12.32232,     0.78659,     0.78659
01/01/2022 00:18:00,                1020,     0.84346,    12.33340,     0.84346,    12.33248,     0.78913,     0.78913
01/01/2022 00:19:00,                1080,     0.85040,    12.34423,     0.85040,    12.34330,     0.79171,     0.79171
01/01/2022 00:20:00,                1140,     0.85757,    12.35515,     0.85757,    12.35421,     0.79429,     0.79429
01/01/2022 00:21:00,                1200,     0.86504,    12.36631,     0.86504,    12.36535,     0.79682,     0.79682
01/01/2022 00:22:00,                1260,     0.87308,    12.37785,     0.87308,    12.37688,     0.79942,     0.79942
01/01/2022 00:23:00,                1320,     0.88118,    12.38962,     0.88118,    12.38864,     0.80176,     0.80176
01/01/2022 00:24:00,                1380,     0.89031,    12.40338,     0.89031,    12.40238,     0.80393,     0.80393
01/01/2022 00:25:00,                1440,     0.90000,    12.41745,     0.90000,    12.41643,     0.80623,     0.80623
01/01/2022 00:26:00,                1500,     0.91049,    12.43223,     0.91049,    12.43120,     0.80843,     0.80843
01/01/2022 00:27:00,                1560,     0.92207,    12.44849,     0.92207,    12.44744,     0.81064,     0.81064
01/01/2022 00:28:00,                1620,     0.93629,    12.47000,     0.93629,    12.46894,     0.81270,     0.81270
01/01/2022 00:29:00,                1680,     0.95404,    12.49529,     0.95404,    12.49420,     0.81461,     0.81461
01/01/2022 00:30:00,                1740,     0.98112,    12.55578,     0.98112,    12.55461,     0.81570,     0.81570
01/01/2022 00:31:00,                1800,     1.07263,    12.83408,     1.07247,    12.68108,     0.82029,     0.82034
01/01/2022 00:32:00,                1860,     1.08841,    12.85866,     1.08836,    12.70463,     0.82247,     0.82248
01/01/2022 00:33:00,                1920,     1.10532,    12.88447,     1.10526,    12.72922,     0.82479,     0.82480
01/01/2022 00:34:00,                1980,     1.12222,    12.91032,     1.12216,    12.75386,     0.82711,     0.82711
01/01/2022 00:35:00,                2040,     1.13915,    12.93624,     1.13908,    12.77857,     0.82941,     0.82942
01/01/2022 00:36:00,                2100,     1.15610,    12.96223,     1.15603,    12.80335,     0.83171,     0.83172
01/01/2022 00:37:00,                2160,     1.17308,    12.98831,     1.17302,    12.82822,     0.83401,     0.83402
01/01/2022 00:38:00,                2220,     1.19011,    13.01448,     1.19004,    12.85318,     0.83630,     0.83631
01/01/2022 00:39:00,                2280,     1.20719,    13.04074,     1.20712,    12.87823,     0.83859,     0.83860
01/01/2022 00:40:00,                2340,     1.22443,    13.06719,     1.22436,    12.90348,     0.84073,     0.84073
01/01/2022 00:41:00,                2400,     1.24208,    13.09411,     1.24200,    12.92920,     0.84263,     0.84264
01/01/2022 00:42:00,                2460,     1.25991,    13.12127,     1.25983,    12.95515,     0.84455,     0.84456
01/01/2022 00:43:00,                2520,     1.27766,    13.14839,     1.27758,    12.98106,     0.84645,     0.84646
