Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us,Node3,Node3.1
01/01/2022 00:01:00,                   0,     1.77541,     2.18546,     1.77542,     2.18472,     0.73379,     0.73378
01/01/2022 00:02:00,                  60,     1.75332,     2.19037,     1.75332,     2.18960,     0.74637,     0.74637
01/01/2022 00:03:00,                 120,     1.75933,     2.19901,     1.75933,     2.19824,     0.74945,     0.74945
01/01/2022 00:04:00,                 180,     1.76416,     2.20723,     1.76416,     2.20645,     0.75225,     0.75225
01/01/2022 00:05:00,                 240,     1.76920,     2.21560,     1.76920,     2.21481,     0.75512,     0.75512
01/01/2022 00:06:00,                 300,     1.77427,     2.22399,     1.77427,     2.22320,     0.75799,     0.75799
01/01/2022 00:07:00,                 360,     1.77934,     2.23238,     1.77934,     2.23157,     0.76078,     0.76078
01/01/2022 00:08:00,                 420,     1.78457,     2.24088,     1.78457,     2.24006,     0.76333,     0.76333
01/01/2022 00:09:00,                 480,     1.78994,     2.24949,     1.78994,     2.24866,     0.76593,     0.76593
01/01/2022 00:10:00,                 540,     1.79534,     2.25808,     1.79534,     2.25724,     0.76851,     0.76851
01/01/2022 00:11:00,                 600,     1.80082,     2.26679,     1.80082,     2.26594,     0.77110,     0.77110
01/01/2022 00:12:00,                 660,     1.80654,     2.27605,     1.80654,     2.27519,     0.77366,     0.77366
01/01/2022 00:13:00,                 720,     1.81233,     2.28532,     1.81233,     2.28446,     0.77626,     0.77626
01/01/2022 00:14:00,                 780,     1.81814,     2.29458,     1.81814,     2.29370,     0.77886,     0.77886
01/01/2022 00:15:00,                 840,     1.82415,     2.30397,     1.82415,     2.30308,     0.78139,     0.78139
01/01/2022 00:16:00,                 900,     1.83054,     2.31361,     1.83054,     2.31271,     0.78398,     0.78398
01/01/2022 00:17:00,                 960,     1.83695,     2.32323,     1.83695,     2.32232,     0.78659,     0.78659
01/01/2022 00:18:00,                1020,     1.84346,     2.33340,     1.84346,     2.33248,     0.78913,     0.78913
01/01/2022 00:19:00,                1080,     1.85040,     2.34423,     1.85040,     2.34330,     0.79171,     0.79171
01/01/2022 00:20:00,                1140,     1.85757,     2.35515,     1.85757,     2.35421,     0.79429,     0.79429
01/01/2022 00:21:00,                1200,     1.86504,     2.36631,     1.86504,     2.36535,     0.79682,     0.79682
01/01/2022 00:22:00,                1260,     1.87308,     2.37785,     1.87308,     2.37688,     0.79942,     0.79942
01/01/2022 00:23:00,                1320,     1.88118,     2.38962,     1.88118,     2.38864,     0.80176,     0.80176
01/01/2022 00:24:00,                1380,     1.89031,     2.40338,     1.89031,     2.40238,     0.80393,     0.80393
01/01/2022 00:25:00,                1440,     1.90000,     2.41745,     1.90000,     2.41643,     0.80623,     0.80623
01/01/2022 00:26:00,                1500,     1.91049,     2.43223,     1.91049,     2.43120,     0.80843,     0.80843
01/01/2022 00:27:00,                1560,     1.92207,     2.44849,     1.92207,     2.44744,     0.81064,     0.81064
01/01/2022 00:28:00,                1620,     1.93629,     2.47000,     1.93629,     2.46894,     0.81270,     0.81270
01/01/2022 00:29:00,                1680,     1.95404,     2.49529,     1.95404,     2.49420,     0.81461,     0.81461
01/01/2022 00:30:00,                1740,     1.98112,     2.55578,     1.98112,     2.55461,     0.81570,     0.81570
01/01/2022 00:31:00,                1800,     2.07263,     2.83408,     2.07247,     2.68108,     0.82029,     0.82034
01/01/2022 00:32:00,                1860,     2.08841,     2.85866,     2.08836,     2.70463,     0.82247,     0.82248
01/01/2022 00:33:00,                1920,     2.10532,     2.88447,     2.10526,     2.72922,     0.82479,     0.82480
01/01/2022 00:34:00,                1980,     2.12222,     2.91032,     2.12216,     2.75386,     0.82711,     0.82711
01/01/2022 00:35:00,                2040,     2.13915,     2.93624,     2.13908,     2.77857,     0.82941,     0.82942
01/01/2022 00:36:00,                2100,     2.15610,     2.96223,     2.15603,     2.80335,     0.83171,     0.83172
01/01/2022 00:37:00,                2160,     2.17308,     2.98831,     2.17302,     2.82822,     0.83401,     0.83402
01/01/2022 00:38:00,                2220,     2.19011,     3.01448,     2.19004,     2.85318,     0.83630,     0.83631
01/01/2022 00:39:00,                2280,     2.20719,     3.04074,     2.20712,     2.87823,     0.83859,     0.83860
01/01/2022 00:40:00,                2340,     2.22443,     3.06719,     2.22436,     2.90348,     0.84073,     0.84073
01/01/2022 00:41:00,                2400,     2.24208,     3.09411,     2.24200,     2.92920,     0.84263,     0.84264
01/01/2022 00:42:00,                2460,     2.25991,     3.12128,     2.25983,     2.95515,     0.84455,     0.84456
01/01/2022 00:43:00,                2520,     2.27766,     3.14839,     2.27758,     2.98106,     0.84645,     0.84646
01/01/2022 00:44:00,                2580,     2.29548,     3.17563,     2.29541,     3.00711,     0.84835,     0.84836
01/01/2022 00:45:00,                2640,     2.31339,     3.20300,     2.31331,     3.03328,     0.85025,     0.85026
01/01/2022 00:46:00,                2700,     2.33137,     3.23049,     2.33129,     3.05957,     0.85215,     0.85216
01/01/2022 00:47:00,                2760,     2.34942,     3.25810,     2.34934,     3.08598,     0.85405,     0.85406
01/01/2022 00:48:00,                2820,     2.36754,     3.28582,     2.36747,     3.11251,     0.85596,     0.85596
01/01/2022 00:49:00,                2880,     2.38574,     3.31367,     2.38567,     3.13916,     0.85786,     0.85787
01/01/2022 00:50:00,                2940,     2.40401,     3.34164,     2.40394,     3.16594,     0.85976,     0.85977
01/01/2022 00:51:00,                3000,     2.42239,     3.36976,     2.42231,     3.19286,     0.86166,     0.86167
01/01/2022 00:52:00,                3060,     2.44085,     3.39800,     2.44077,     3.21992,     0.86356,     0.86357
01/01/2022 00:53:00,                3120,     2.45938,     3.42637,     2.45930,     3.24709,     0.86546,     0.86547
01/01/2022 00:54:00,                3180,     2.47798,     3.45485,     2.47790,     3.27439,     0.86736,     0.86737
01/01/2022 00:55:00,                3240,     2.49664,     3.48344,     2.49657,     3.30179,     0.86926,     0.86927
01/01/2022 00:56:00,                3300,     2.51538,     3.51215,     2.51530,     3.32932,     0.87117,     0.87117
01/01/2022 00:57:00,                3360,     2.53418,     3.54097,     2.53410,     3.35696,     0.87307,     0.87307
01/01/2022 00:58:00,                3420,     2.55305,     3.56991,     2.55297,     3.38471,     0.87497,     0.87498
01/01/2022 00:59:00,                3480,     2.57198,     3.59895,     2.57191,     3.41258,     0.87687,     0.87688
01/01/2022 01:00:00,                3540,     2.59098,     3.62811,     2.59090,     3.44056,     0.87877,     0.87878
01/01/2022 01:01:00,                3600,     2.61016,     3.65748,     2.61008,     3.46875,     0.88050,     0.88050
01/01/2022 01:02:00,                3660,     2.62981,     3.68737,     2.62973,     3.49747,     0.88192,     0.88193
01/01/2022 01:03:00,                3720,     2.64953,     3.71739,     2.64945,     3.52632,     0.88335,     0.88335
01/01/2022 01:04:00,                3780,     2.66933,     3.74754,     2.66925,     3.55529,     0.88477,     0.88478
01/01/2022 01:05:00,                3840,     2.68921,     3.77780,     2.68913,     3.58439,     0.88620,     0.88620
01/01/2022 01:06:00,                3900,     2.70917,     3.80820,     2.70909,     3.61362,     0.88762,     0.88763
01/01/2022 01:07:00,                3960,     2.72921,     3.83871,     2.72913,     3.64297,     0.88905,     0.88905
01/01/2022 01:08:00,                4020,     2.74932,     3.86935,     2.74924,     3.67245,     0.89047,     0.89048
01/01/2022 01:09:00,                4080,     2.76951,     3.90012,     2.76943,     3.70205,     0.89190,     0.89190
