Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us,Node3,Node3.1
01/01/2022 00:01:00,                   0,     0.33616,     5.28261,     0.33616,     5.28229,     0.31811,     0.31811
01/01/2022 00:02:00,                  60,     0.32658,     5.28473,     0.32658,     5.28440,     0.32356,     0.32356
01/01/2022 00:03:00,                 120,     0.32918,     5.28848,     0.32918,     5.28814,     0.32490,     0.32490
01/01/2022 00:04:00,                 180,     0.33128,     5.29204,     0.33128,     5.29170,     0.32611,     0.32611
01/01/2022 00:05:00,                 240,     0.33346,     5.29567,     0.33346,     5.29533,     0.32736,     0.32736
01/01/2022 00:06:00,                 300,     0.33566,     5.29931,     0.33566,     5.29896,     0.32860,     0.32860
01/01/2022 00:07:00,                 360,     0.33786,     5.30294,     0.33786,     5.30259,     0.32981,     0.32981
01/01/2022 00:08:00,                 420,     0.34012,     5.30663,     0.34012,     5.30628,     0.33092,     0.33092
01/01/2022 00:09:00,                 480,     0.34245,     5.31036,     0.34245,     5.31000,     0.33204,     0.33204
01/01/2022 00:10:00,                 540,     0.34479,     5.31409,     0.34479,     5.31372,     0.33316,     0.33316
01/01/2022 00:11:00,                 600,     0.34717,     5.31786,     0.34717,     5.31750,     0.33429,     0.33429
01/01/2022 00:12:00,                 660,     0.34965,     5.32188,     0.34965,     5.32150,     0.33539,     0.33539
01/01/2022 00:13:00,                 720,     0.35216,     5.32590,     0.35216,     5.32552,     0.33652,     0.33652
01/01/2022 00:14:00,                 780,     0.35468,     5.32991,     0.35468,     5.32953,     0.33765,     0.33765
01/01/2022 00:15:00,                 840,     0.35728,     5.33398,     0.35728,     5.33360,     0.33875,     0.33875
01/01/2022 00:16:00,                 900,     0.36005,     5.33816,     0.36005,     5.33777,     0.33987,     0.33987
01/01/2022 00:17:00,                 960,     0.36283,     5.34233,     0.36283,     5.34193,     0.34100,     0.34100
01/01/2022 00:18:00,                1020,     0.36565,     5.34674,     0.36565,     5.34634,     0.34210,     0.34210
01/01/2022 00:19:00,                1080,     0.36866,     5.35144,     0.36866,     5.35103,     0.34322,     0.34322
01/01/2022 00:20:00,                1140,     0.37177,     5.35617,     0.37177,     5.35576,     0.34434,     0.34434
01/01/2022 00:21:00,                1200,     0.37501,     5.36101,     0.37501,     5.36059,     0.34543,     0.34543
01/01/2022 00:22:00,                1260,     0.37849,     5.36601,     0.37849,     5.36559,     0.34656,     0.34656
01/01/2022 00:23:00,                1320,     0.38200,     5.37111,     0.38200,     5.37069,     0.34758,     0.34758
01/01/2022 00:24:00,                1380,     0.38596,     5.37708,     0.38596,     5.37664,     0.34852,     0.34852
01/01/2022 00:25:00,                1440,     0.39016,     5.38317,     0.39016,     5.38274,     0.34952,     0.34952
01/01/2022 00:26:00,                1500,     0.39471,     5.38958,     0.39471,     5.38914,     0.35047,     0.35047
01/01/2022 00:27:00,                1560,     0.39973,     5.39663,     0.39973,     5.39618,     0.35142,     0.35142
01/01/2022 00:28:00,                1620,     0.40590,     5.40596,     0.40590,     5.40550,     0.35232,     0.35232
01/01/2022 00:29:00,                1680,     0.41359,     5.41692,     0.41359,     5.41645,     0.35315,     0.35315
01/01/2022 00:30:00,                1740,     0.42533,     5.44314,     0.42533,     5.44264,     0.35362,     0.35362
01/01/2022 00:31:00,                1800,     0.46501,     5.56379,     0.46493,     5.49747,     0.35561,     0.35563
01/01/2022 00:32:00,                1860,     0.47185,     5.57445,     0.47182,     5.50767,     0.35655,     0.35656
01/01/2022 00:33:00,                1920,     0.47918,     5.58564,     0.47915,     5.51833,     0.35756,     0.35756
01/01/2022 00:34:00,                1980,     0.48650,     5.59685,     0.48648,     5.52902,     0.35856,     0.35857
01/01/2022 00:35:00,                2040,     0.49384,     5.60808,     0.49381,     5.53973,     0.35956,     0.35957
01/01/2022 00:36:00,                2100,     0.50119,     5.61935,     0.50116,     5.55047,     0.36056,     0.36057
01/01/2022 00:37:00,                2160,     0.50855,     5.63065,     0.50852,     5.56125,     0.36156,     0.36156
01/01/2022 00:38:00,                2220,     0.51593,     5.64200,     0.51590,     5.57207,     0.36255,     0.36256
01/01/2022 00:39:00,                2280,     0.52334,     5.65338,     0.52331,     5.58293,     0.36355,     0.36355
01/01/2022 00:40:00,                2340,     0.53081,     5.66485,     0.53078,     5.59388,     0.36447,     0.36447
01/01/2022 00:41:00,                2400,     0.53846,     5.67652,     0.53843,     5.60503,     0.36529,     0.36530
01/01/2022 00:42:00,                2460,     0.54619,     5.68830,     0.54616,     5.61628,     0.36613,     0.36613
01/01/2022 00:43:00,                2520,     0.55389,     5.70005,     0.55385,     5.62751,     0.36695,     0.36695
01/01/2022 00:44:00,                2580,     0.56161,     5.71186,     0.56158,     5.63880,     0.36777,     0.36778
01/01/2022 00:45:00,                2640,     0.56938,     5.72373,     0.56934,     5.65015,     0.36860,     0.36860
01/01/2022 00:46:00,                2700,     0.57717,     5.73564,     0.57714,     5.66154,     0.36942,     0.36943
01/01/2022 00:47:00,                2760,     0.58500,     5.74761,     0.58496,     5.67299,     0.37025,     0.37025
01/01/2022 00:48:00,                2820,     0.59285,     5.75963,     0.59282,     5.68450,     0.37107,     0.37107
01/01/2022 00:49:00,                2880,     0.60074,     5.77170,     0.60071,     5.69605,     0.37190,     0.37190
01/01/2022 00:50:00,                2940,     0.60866,     5.78383,     0.60863,     5.70766,     0.37272,     0.37272
01/01/2022 00:51:00,                3000,     0.61663,     5.79602,     0.61660,     5.71933,     0.37354,     0.37355
01/01/2022 00:52:00,                3060,     0.62463,     5.80826,     0.62460,     5.73106,     0.37437,     0.37437
01/01/2022 00:53:00,                3120,     0.63266,     5.82056,     0.63263,     5.74284,     0.37519,     0.37520
01/01/2022 00:54:00,                3180,     0.64073,     5.83291,     0.64069,     5.75467,     0.37602,     0.37602
01/01/2022 00:55:00,                3240,     0.64882,     5.84530,     0.64879,     5.76655,     0.37684,     0.37684
01/01/2022 00:56:00,                3300,     0.65694,     5.85775,     0.65691,     5.77849,     0.37767,     0.37767
01/01/2022 00:57:00,                3360,     0.66509,     5.87024,     0.66506,     5.79047,     0.37849,     0.37849
01/01/2022 00:58:00,                3420,     0.67327,     5.88279,     0.67324,     5.80250,     0.37931,     0.37932
01/01/2022 00:59:00,                3480,     0.68148,     5.89538,     0.68145,     5.81458,     0.38014,     0.38014
01/01/2022 01:00:00,                3540,     0.68972,     5.90802,     0.68968,     5.82671,     0.38096,     0.38097
01/01/2022 01:01:00,                3600,     0.69803,     5.92075,     0.69800,     5.83893,     0.38171,     0.38171
01/01/2022 01:02:00,                3660,     0.70655,     5.93371,     0.70651,     5.85138,     0.38233,     0.38233
01/01/2022 01:03:00,                3720,     0.71510,     5.94672,     0.71506,     5.86389,     0.38295,     0.38295
01/01/2022 01:04:00,                3780,     0.72368,     5.95979,     0.72365,     5.87645,     0.38356,     0.38357
01/01/2022 01:05:00,                3840,     0.73230,     5.97291,     0.73227,     5.88906,     0.38418,     0.38418
01/01/2022 01:06:00,                3900,     0.74095,     5.98609,     0.74092,     5.90173,     0.38480,     0.38480
01/01/2022 01:07:00,                3960,     0.74964,     5.99932,     0.74961,     5.91446,     0.38542,     0.38542
01/01/2022 01:08:00,                4020,     0.75836,     6.01260,     0.75833,     5.92724,     0.38603,     0.38604
01/01/2022 01:09:00,                4080,     0.76711,     6.02594,     0.76708,     5.94007,     0.38665,     0.38665
01/01/2022 01:10:00,                4140,     0.77590,     6.03933,     0.77587,     5.95296,     0.38727,     0.38727
01/01/2022 01:11:00,                4200,     0.78472,     6.05277,     0.78469,     5.96590,     0.38789,     0.38789
01/01/2022 01:12:00,                4260,     0.79357,     6.06626,     0.79354,     5.97889,     0.38851,     0.38851
01/01/2022 01:13:00,                4320,     0.80245,     6.07980,     0.80242,     5.99194,     0.38912,     0.38913
01/01/2022 01:14:00,                4380,     0.81137,     6.09340,     0.81133,     6.00503,     0.38974,     0.38974
01/01/2022 01:15:00,                4440,     0.82032,     6.10705,     0.82028,     6.01819,     0.39036,     0.39036
01/01/2022 01:16:00,                4500,     0.82931,     6.12077,     0.82928,     6.03141,     0.39098,     0.39098
01/01/2022 01:17:00,                4560,     0.83834,     6.13453,     0.83830,     6.04468,     0.39159,     0.39160
01/01/2022 01:18:00,                4620,     0.84739,     6.14835,     0.84736,     6.05800,     0.39221,     0.39221
01/01/2022 01:19:00,                4680,     0.85648,     6.16222,     0.85644,     6.07137,     0.39283,     0.39283
01/01/2022 01:20:00,                4740,     0.86559,     6.17613,     0.86556,     6.08480,     0.39345,     0.39345
01/01/2022 01:21:00,                4800,     0.87474,     6.19010,     0.87471,     6.09827,     0.39406,     0.39407
01/01/2022 01:22:00,                4860,     0.88391,     6.20411,     0.88388,     6.11179,     0.39468,     0.39468
01/01/2022 01:23:00,                4920,     0.89312,     6.21817,     0.89309,     6.12537,     0.39530,     0.39530
01/01/2022 01:24:00,                4980,     0.90235,     6.23229,     0.90232,     6.13899,     0.39592,     0.39592
01/01/2022 01:25:00,                5040,     0.91161,     6.24644,     0.91158,     6.15266,     0.39654,     0.39654
01/01/2022 01:26:00,                5100,     0.92090,     6.26065,     0.92087,     6.16638,     0.39715,     0.39716
01/01/2022 01:27:00,                5160,     0.93022,     6.27491,     0.93019,     6.18015,     0.39777,     0.39777
01/01/2022 01:28:00,                5220,     0.93956,     6.28921,     0.93953,     6.19397,     0.39839,     0.39839
01/01/2022 01:29:00,                5280,     0.94898,     6.30360,     0.94895,     6.20788,     0.39893,     0.39894
01/01/2022 01:30:00,                5340,     0.95870,     6.31831,     0.95867,     6.22211,     0.39930,     0.39930
01/01/2022 01:31:00,                5400,     0.96846,     6.33308,     0.96842,     6.23640,     0.39966,     0.39966
01/01/2022 01:32:00,                5460,     0.97825,     6.34791,     0.97821,     6.25075,     0.40002,     0.40002
01/01/2022 01:33:00,                5520,     0.98808,     6.36279,     0.98804,     6.26515,     0.40038,     0.40038
01/01/2022 01:34:00,                5580,     0.99794,     6.37773,     0.99791,     6.27961,     0.40074,     0.40074
01/01/2022 01:35:00,                5640,     1.00784,     6.39272,     1.00781,     6.29413,     0.40111,     0.40111
01/01/2022 01:36:00,                5700,     1.01778,     6.40777,     1.01775,     6.30871,     0.40147,     0.40147
01/01/2022 01:37:00,                5760,     1.02775,     6.42288,     1.02772,     6.32334,     0.40183,     0.40183
01/01/2022 01:38:00,                5820,     1.03776,     6.43804,     1.03773,     6.33803,     0.40219,     0.40219
01/01/2022 01:39:00,                5880,     1.04781,     6.45326,     1.04778,     6.35278,     0.40255,     0.40255
01/01/2022 01:40:00,                5940,     1.05789,     6.46853,     1.05786,     6.36758,     0.40292,     0.40292
01/01/2022 01:41:00,                6000,     1.06801,     6.48386,     1.06797,     6.38244,     0.40328,     0.40328
01/01/2022 01:42:00,                6060,     1.07816,     6.49924,     1.07813,     6.39736,     0.40364,     0.40364
01/01/2022 01:43:00,                6120,     1.08835,     6.51467,     1.08831,     6.41233,     0.40400,     0.40400
01/01/2022 01:44:00,                6180,     1.09857,     6.53016,     1.09854,     6.42736,     0.40436,     0.40436
01/01/2022 01:45:00,                6240,     1.10883,     6.54571,     1.10879,     6.44244,     0.40473,     0.40473
01/01/2022 01:46:00,                6300,     1.11912,     6.56130,     1.11908,     6.45757,     0.40509,     0.40509
01/01/2022 01:47:00,                6360,     1.12944,     6.57695,     1.12941,     6.47277,     0.40545,     0.40545
01/01/2022 01:48:00,                6420,     1.13980,     6.59266,     1.13977,     6.48801,     0.40581,     0.40581
01/01/2022 01:49:00,                6480,     1.15019,     6.60841,     1.15016,     6.50331,     0.40617,     0.40617
01/01/2022 01:50:00,                6540,     1.16062,     6.62422,     1.16058,     6.51867,     0.40654,     0.40654
01/01/2022 01:51:00,                6600,     1.17108,     6.64009,     1.17104,     6.53407,     0.40690,     0.40690
01/01/2022 01:52:00,                6660,     1.18157,     6.65600,     1.18153,     6.54954,     0.40726,     0.40726
01/01/2022 01:53:00,                6720,     1.19210,     6.67197,     1.19206,     6.56506,     0.40762,     0.40762
01/01/2022 01:54:00,                6780,     1.20267,     6.68801,     1.20264,     6.58064,     0.40798,     0.40798
01/01/2022 01:55:00,                6840,     1.21328,     6.70409,     1.21325,     6.59628,     0.40835,     0.40835
01/01/2022 01:56:00,                6900,     1.22392,     6.72024,     1.22389,     6.61198,     0.40871,     0.40871
01/01/2022 01:57:00,                6960,     1.23459,     6.73643,     1.23456,     6.62773,     0.40907,     0.40907
01/01/2022 01:58:00,                7020,     1.24530,     6.75267,     1.24527,     6.64353,     0.40943,     0.40943
01/01/2022 01:59:00,                7080,     1.25604,     6.76896,     1.25601,     6.65938,     0.40979,     0.40979
01/01/2022 02:00:00,                7140,     1.26681,     6.78531,     1.26677,     6.67528,     0.41016,     0.41016
01/01/2022 02:01:00,                7200,     1.27761,     6.80170,     1.27757,     6.69124,     0.41052,     0.41052
01/01/2022 02:02:00,                7260,     1.28844,     6.81815,     1.28841,     6.70725,     0.41088,     0.41088
01/01/2022 02:03:00,                7320,     1.29930,     6.83465,     1.29927,     6.72331,     0.41124,     0.41124
01/01/2022 02:04:00,                7380,     1.31019,     6.85119,     1.31016,     6.73942,     0.41160,     0.41160
01/01/2022 02:05:00,                7440,     1.32112,     6.86779,     1.32109,     6.75559,     0.41197,     0.41197
01/01/2022 02:06:00,                7500,     1.33207,     6.88444,     1.33204,     6.77180,     0.41233,     0.41233
01/01/2022 02:07:00,                7560,     1.34306,     6.90113,     1.34303,     6.78807,     0.41269,     0.41269
01/01/2022 02:08:00,                7620,     1.35408,     6.91788,     1.35404,     6.80439,     0.41305,     0.41305
01/01/2022 02:09:00,                7680,     1.36512,     6.93467,     1.36509,     6.82076,     0.41341,     0.41341
01/01/2022 02:10:00,                7740,     1.37620,     6.95151,     1.37617,     6.83718,     0.41378,     0.41378
01/01/2022 02:11:00,                7800,     1.38730,     6.96840,     1.38727,     6.85365,     0.41414,     0.41414
01/01/2022 02:12:00,                7860,     1.39844,     6.98534,     1.39841,     6.87017,     0.41450,     0.41450
01/01/2022 02:13:00,                7920,     1.40960,     7.00233,     1.40957,     6.88674,     0.41486,     0.41486
01/01/2022 02:14:00,                7980,     1.42079,     7.01937,     1.42076,     6.90336,     0.41522,     0.41522
01/01/2022 02:15:00,                8040,     1.43202,     7.03645,     1.43199,     6.92002,     0.41559,     0.41559
01/01/2022 02:16:00,                8100,     1.44327,     7.05359,     1.44324,     6.93674,     0.41595,     0.41595
01/01/2022 02:17:00,                8160,     1.46946,     7.08071,     1.46922,     6.96345,     0.42208,     0.42208
01/01/2022 02:18:00,                8220,     1.50817,     7.12857,     1.51048,     7.01406,     0.43352,     0.43352
01/01/2022 02:19:00,                8280,     1.51396,     7.14930,     1.51392,     7.03131,     0.43352,     0.43352
01/01/2022 02:20:00,                8340,     1.52464,     7.14940,     1.52415,     7.03095,     0.43352,     0.43352
01/01/2022 02:21:00,                8400,     1.53704,     7.16858,     1.53584,     7.04883,     0.43352,     0.43352
01/01/2022 02:22:00,                8460,     1.54914,     7.18679,     1.54754,     7.06617,     0.43352,     0.43352
