Page title is, Link : n1.1
Date,Time,"level_negative_depth>negative depth, Depth DS (Depth (ft))","level_depth>level_depth, Depth DS (Depth (ft))","level_elevation!>level_elevation, Depth DS (Depth (ft))","free outfall>free outfall, Depth DS (Depth (ft))"
01/01/2020,00:00:00,0.225000,0.225000,0.225000,0.225000
01/01/2020,00:05:00,0.225000,0.225000,0.225000,0.225000
01/01/2020,00:10:00,0.225646,0.225646,0.225646,0.225646
01/01/2020,00:15:00,0.235977,0.235977,0.235977,0.235977
01/01/2020,00:20:00,0.279866,0.279866,0.279866,0.279866
01/01/2020,00:25:00,0.337512,0.337512,0.337512,0.337512
01/01/2020,00:30:00,0.370884,0.370884,0.370884,0.370884
01/01/2020,00:35:00,0.394769,0.394769,0.394769,0.394769
01/01/2020,00:40:00,0.421935,0.421935,0.421935,0.421935
01/01/2020,00:45:00,0.453271,0.453271,0.453271,0.453271
01/01/2020,00:50:00,0.503056,0.503056,0.503056,0.503056
01/01/2020,00:55:00,0.545874,0.545874,0.545874,0.545874
01/01/2020,01:00:00,0.574037,0.574037,0.574037,0.574037
01/01/2020,01:05:00,0.591166,0.591166,0.591166,0.591166
01/01/2020,01:10:00,0.601779,0.601779,0.601779,0.601779
01/01/2020,01:15:00,0.609320,0.609320,0.609320,0.609320
01/01/2020,01:20:00,0.614844,0.614844,0.614844,0.614844
01/01/2020,01:25:00,0.618930,0.618930,0.618930,0.618930
01/01/2020,01:30:00,0.621960,0.621960,0.621960,0.621960
01/01/2020,01:35:00,0.624283,0.624283,0.624283,0.624283
01/01/2020,01:40:00,0.626208,0.626208,0.626208,0.626208
01/01/2020,01:45:00,0.627949,0.627949,0.627949,0.627949
01/01/2020,01:50:00,0.629361,0.629361,0.629361,0.629361
01/01/2020,01:55:00,0.630453,0.630453,0.630453,0.630453
01/01/2020,02:00:00,0.631389,0.631389,0.631389,0.631389
01/01/2020,02:05:00,0.632170,0.632170,0.632170,0.632170
01/01/2020,02:10:00,0.632824,0.632824,0.632824,0.632824
01/01/2020,02:15:00,0.633393,0.633393,0.633393,0.633393
01/01/2020,02:20:00,0.633898,0.633898,0.633898,0.633898
01/01/2020,02:25:00,0.634324,0.634324,0.634324,0.634324
01/01/2020,02:30:00,0.634703,0.634703,0.634703,0.634703
01/01/2020,02:35:00,0.635020,0.635020,0.635020,0.635020
01/01/2020,02:40:00,0.635318,0.635318,0.635318,0.635318
01/01/2020,02:45:00,0.635569,0.635569,0.635569,0.635569
01/01/2020,02:50:00,0.635778,0.635778,0.635778,0.635778
01/01/2020,02:55:00,0.635980,0.635980,0.635980,0.635980
01/01/2020,03:00:00,0.636168,0.636168,0.636168,0.636168
01/01/2020,03:05:00,0.636300,0.636300,0.636300,0.636300
01/01/2020,03:10:00,0.636424,0.636424,0.636424,0.636424
