x,y,z
-3275,-747,1
-3265,-747,1
-3255,-747,1
-3245,-747,1
-3235,-747,1
-3225,-747,1
-3215,-747,1
-3205,-747,1
-3195,-747,1
-3185,-747,1
-3175,-747,1
-3165,-747,1
-3155,-747,1
-3145,-747,1
-3135,-747,1
-3125,-747,1
-3115,-747,1
-3105,-747,1
-3095,-747,1
-3085,-747,1
-3075,-747,1
-3065,-747,1
-3055,-747,1
-3045,-747,1
-3035,-747,1
-3025,-747,1
-3015,-747,1
-3005,-747,1
-2995,-747,1
-2985,-747,1
-2975,-747,1
-2965,-747,1
-2955,-747,1
-2945,-747,1
-2935,-747,1
-2925,-747,1
-2915,-747,1
-2905,-747,1
-2895,-747,1
-2885,-747,1
-2875,-747,1
-2865,-747,1
-2855,-747,1
-2845,-747,1
-2835,-747,1
-2825,-747,1
-2815,-747,1
-2805,-747,1
-2795,-747,1
-2785,-747,1
-2775,-747,1
-2765,-747,1
-2755,-747,1
-2745,-747,1
-2735,-747,1
-2725,-747,1
-2715,-747,1
-2705,-747,1
-2695,-747,1
-2685,-747,1
-2675,-747,1
-2665,-747,1
-2655,-747,1
-2645,-747,1
-2635,-747,1
-2625,-747,1
-2615,-747,1
-2605,-747,1
-2595,-747,1
-2585,-747,1
-2575,-747,1
-2565,-747,1
-2555,-747,1
-2545,-747,1
-2535,-747,1
-2525,-747,1
-2515,-747,1
-2505,-747,1
-2495,-747,1
-2485,-747,1
-2475,-747,1
-2465,-747,1
-2455,-747,1
-2445,-747,1
-2435,-747,1
-2425,-747,1
-2415,-747,1
-2405,-747,1
-2395,-747,1
-2385,-747,1
-2375,-747,1
-2365,-747,1
-2355,-747,1
-2345,-747,1
-2335,-747,1
-2325,-747,1
-2315,-747,1
-2305,-747,1
-2295,-747,1
-2285,-747,1
-2275,-747,1
-2265,-747,1
-2255,-747,1
-2245,-747,1
-2235,-747,1
-2225,-747,1
-2215,-747,1
-2205,-747,1
-2195,-747,1
-2185,-747,1
-2175,-747,1
-2165,-747,1
-2155,-747,1
-2145,-747,1
-2135,-747,1
-2125,-747,1
-2115,-747,1
-2105,-747,1
-2095,-747,1
-2085,-747,1
-2075,-747,1
-2065,-747,1
-2055,-747,1
-2045,-747,1
-2035,-747,1
-2025,-747,1
-2015,-747,1
-2005,-747,1
-1995,-747,1
-1985,-747,1
-1975,-747,1
-1965,-747,1
-1955,-747,1
-1945,-747,1
-1935,-747,1
-1925,-747,1
-1915,-747,1
-1905,-747,1
-1895,-747,1
-1885,-747,1
-1875,-747,1
-1865,-747,1
-1855,-747,1
-1845,-747,1
-1835,-747,1
-1825,-747,1
-1815,-747,1
-1805,-747,1
-1795,-747,1
-1785,-747,1
-1775,-747,1
-1765,-747,1
-1755,-747,1
-1745,-747,1
-1735,-747,1
-1725,-747,1
-1715,-747,1
-1705,-747,1
-1695,-747,1
-1685,-747,1
-1675,-747,1
-1665,-747,1
-1655,-747,1
-1645,-747,1
-1635,-747,1
-1625,-747,1
-1615,-747,1
-1605,-747,1
-1595,-747,1
-1585,-747,1
-1575,-747,1
-1565,-747,1
-1555,-747,1
-1545,-747,1
-1535,-747,1
-1525,-747,1
-1515,-747,1
-1505,-747,1
-1495,-747,1
-1485,-747,1
-1475,-747,1
-1465,-747,1
-1455,-747,1
-1445,-747,1
-1435,-747,1
-1425,-747,1
-1415,-747,1
-1405,-747,1
-1395,-747,1
-1385,-747,1
-1375,-747,1
-1365,-747,1
-1355,-747,1
-1345,-747,1
-1335,-747,1
-1325,-747,1
-1315,-747,1
-1305,-747,1
-1295,-747,1
-1285,-747,1
-1275,-747,1
-1265,-747,1
-1255,-747,1
-1245,-747,1
-1235,-747,1
-1225,-747,1
-1215,-747,1
-1205,-747,1
-1195,-747,1
-1185,-747,1
-1175,-747,1
-1165,-747,1
-1155,-747,1
-1145,-747,1
-1135,-747,1
-1125,-747,1
-1115,-747,1
-1105,-747,1
-1095,-747,1
-1085,-747,1
-1075,-747,1
-1065,-747,1
-1055,-747,1
-1045,-747,1
-1035,-747,1
-1025,-747,1
-1015,-747,1
-1005,-747,1
-995,-747,1
-985,-747,1
-975,-747,1
-965,-747,1
-955,-747,1
-3275,-737,2
-3265,-737,2
-3255,-737,2
-3245,-737,2
-3235,-737,2
-3225,-737,2
-3215,-737,2
-3205,-737,2
-3195,-737,2
-3185,-737,2
-3175,-737,2
-3165,-737,2
-3155,-737,2
-3145,-737,2
-3135,-737,2
-3125,-737,2
-3115,-737,2
-3105,-737,2
-3095,-737,2
-3085,-737,2
-3075,-737,2
-3065,-737,2
-3055,-737,2
-3045,-737,2
-3035,-737,2
-3025,-737,2
-3015,-737,2
-3005,-737,2
-2995,-737,2
-2985,-737,2
-2975,-737,2
-2965,-737,2
-2955,-737,2
-2945,-737,2
-2935,-737,2
-2925,-737,2
-2915,-737,2
-2905,-737,2
-2895,-737,2
-2885,-737,2
-2875,-737,2
-2865,-737,2
-2855,-737,2
-2845,-737,2
-2835,-737,2
-2825,-737,2
-2815,-737,2
-2805,-737,2
-2795,-737,2
-2785,-737,2
-2775,-737,2
-2765,-737,2
-2755,-737,2
-2745,-737,2
-2735,-737,2
-2725,-737,2
-2715,-737,2
-2705,-737,2
-2695,-737,2
-2685,-737,2
-2675,-737,2
-2665,-737,2
-2655,-737,2
-2645,-737,2
-2635,-737,2
-2625,-737,2
-2615,-737,2
-2605,-737,2
-2595,-737,2
-2585,-737,2
-2575,-737,2
-2565,-737,2
-2555,-737,2
-2545,-737,2
-2535,-737,2
-2525,-737,2
-2515,-737,2
-2505,-737,2
-2495,-737,2
-2485,-737,2
-2475,-737,2
-2465,-737,2
-2455,-737,2
-2445,-737,2
-2435,-737,2
-2425,-737,2
-2415,-737,2
-2405,-737,2
-2395,-737,2
-2385,-737,2
-2375,-737,2
-2365,-737,2
-2355,-737,2
-2345,-737,2
-2335,-737,2
-2325,-737,2
-2315,-737,2
-2305,-737,2
-2295,-737,2
-2285,-737,2
-2275,-737,2
-2265,-737,2
-2255,-737,2
-2245,-737,2
-2235,-737,2
-2225,-737,2
-2215,-737,2
-2205,-737,2
-2195,-737,2
-2185,-737,2
-2175,-737,2
-2165,-737,2
-2155,-737,2
-2145,-737,2
-2135,-737,2
-2125,-737,2
-2115,-737,2
-2105,-737,2
-2095,-737,2
-2085,-737,2
-2075,-737,2
-2065,-737,2
-2055,-737,2
-2045,-737,2
-2035,-737,2
-2025,-737,2
-2015,-737,2
-2005,-737,2
-1995,-737,2
-1985,-737,2
-1975,-737,2
-1965,-737,2
-1955,-737,2
-1945,-737,2
-1935,-737,2
-1925,-737,2
-1915,-737,2
-1905,-737,2
-1895,-737,2
-1885,-737,2
-1875,-737,2
-1865,-737,2
-1855,-737,2
-1845,-737,2
-1835,-737,2
-1825,-737,2
-1815,-737,2
-1805,-737,2
-1795,-737,2
-1785,-737,2
-1775,-737,2
-1765,-737,2
-1755,-737,2
-1745,-737,2
-1735,-737,2
-1725,-737,2
-1715,-737,2
-1705,-737,2
-1695,-737,2
-1685,-737,2
-1675,-737,2
-1665,-737,2
-1655,-737,2
-1645,-737,2
-1635,-737,2
-1625,-737,2
-1615,-737,2
-1605,-737,2
-1595,-737,2
-1585,-737,2
-1575,-737,2
-1565,-737,2
-1555,-737,2
-1545,-737,2
-1535,-737,2
-1525,-737,2
-1515,-737,2
-1505,-737,2
-1495,-737,2
-1485,-737,2
-1475,-737,2
-1465,-737,2
-1455,-737,2
-1445,-737,2
-1435,-737,2
-1425,-737,2
-1415,-737,2
-1405,-737,2
-1395,-737,2
-1385,-737,2
-1375,-737,2
-1365,-737,2
-1355,-737,2
-1345,-737,2
-1335,-737,2
-1325,-737,2
-1315,-737,2
-1305,-737,2
-1295,-737,2
-1285,-737,2
-1275,-737,2
-1265,-737,2
-1255,-737,2
-1245,-737,2
-1235,-737,2
-1225,-737,2
-1215,-737,2
-1205,-737,2
-1195,-737,2
-1185,-737,2
-1175,-737,2
-1165,-737,2
-1155,-737,2
-1145,-737,2
-1135,-737,2
-1125,-737,2
-1115,-737,2
-1105,-737,2
-1095,-737,2
-1085,-737,2
-1075,-737,2
-1065,-737,2
-1055,-737,2
-1045,-737,2
-1035,-737,2
-1025,-737,2
-1015,-737,2
-1005,-737,2
-995,-737,2
-985,-737,2
-975,-737,2
-965,-737,2
-955,-737,2
-3275,-727,3
-3265,-727,3
-3255,-727,3
-3245,-727,3
-3235,-727,3
-3225,-727,3
-3215,-727,3
-3205,-727,3
-3195,-727,3
-3185,-727,3
-3175,-727,3
-3165,-727,3
-3155,-727,3
-3145,-727,3
-3135,-727,3
-3125,-727,3
-3115,-727,3
-3105,-727,3
-3095,-727,3
-3085,-727,3
-3075,-727,3
-3065,-727,3
-3055,-727,3
-3045,-727,3
-3035,-727,3
-3025,-727,3
-3015,-727,3
-3005,-727,3
-2995,-727,3
-2985,-727,3
-2975,-727,3
-2965,-727,3
-2955,-727,3
-2945,-727,3
-2935,-727,3
-2925,-727,3
-2915,-727,3
-2905,-727,3
-2895,-727,3
-2885,-727,3
-2875,-727,3
-2865,-727,3
-2855,-727,3
-2845,-727,3
-2835,-727,3
-2825,-727,3
-2815,-727,3
-2805,-727,3
-2795,-727,3
-2785,-727,3
-2775,-727,3
-2765,-727,3
-2755,-727,3
-2745,-727,3
-2735,-727,3
-2725,-727,3
-2715,-727,3
-2705,-727,3
-2695,-727,3
-2685,-727,3
-2675,-727,3
-2665,-727,3
-2655,-727,3
-2645,-727,3
-2635,-727,3
-2625,-727,3
-2615,-727,3
-2605,-727,3
-2595,-727,3
-2585,-727,3
-2575,-727,3
-2565,-727,3
-2555,-727,3
-2545,-727,3
-2535,-727,3
-2525,-727,3
-2515,-727,3
-2505,-727,3
-2495,-727,3
-2485,-727,3
-2475,-727,3
-2465,-727,3
-2455,-727,3
-2445,-727,3
-2435,-727,3
-2425,-727,3
-2415,-727,3
-2405,-727,3
-2395,-727,3
-2385,-727,3
-2375,-727,3
-2365,-727,3
-2355,-727,3
-2345,-727,3
-2335,-727,3
-2325,-727,3
-2315,-727,3
-2305,-727,3
-2295,-727,3
-2285,-727,3
-2275,-727,3
-2265,-727,3
-2255,-727,3
-2245,-727,3
-2235,-727,3
-2225,-727,3
-2215,-727,3
-2205,-727,3
-2195,-727,3
-2185,-727,3
-2175,-727,3
-2165,-727,3
-2155,-727,3
-2145,-727,3
-2135,-727,3
-2125,-727,3
-2115,-727,3
-2105,-727,3
-2095,-727,3
-2085,-727,3
-2075,-727,3
-2065,-727,3
-2055,-727,3
-2045,-727,3
-2035,-727,3
-2025,-727,3
-2015,-727,3
-2005,-727,3
-1995,-727,3
-1985,-727,3
-1975,-727,3
-1965,-727,3
-1955,-727,3
-1945,-727,3
-1935,-727,3
-1925,-727,3
-1915,-727,3
-1905,-727,3
-1895,-727,3
-1885,-727,3
-1875,-727,3
-1865,-727,3
-1855,-727,3
-1845,-727,3
-1835,-727,3
-1825,-727,3
-1815,-727,3
-1805,-727,3
-1795,-727,3
-1785,-727,3
-1775,-727,3
-1765,-727,3
-1755,-727,3
-1745,-727,3
-1735,-727,3
-1725,-727,3
-1715,-727,3
-1705,-727,3
-1695,-727,3
-1685,-727,3
-1675,-727,3
-1665,-727,3
-1655,-727,3
-1645,-727,3
-1635,-727,3
-1625,-727,3
-1615,-727,3
-1605,-727,3
-1595,-727,3
-1585,-727,3
-1575,-727,3
-1565,-727,3
-1555,-727,3
-1545,-727,3
-1535,-727,3
-1525,-727,3
-1515,-727,3
-1505,-727,3
-1495,-727,3
-1485,-727,3
-1475,-727,3
-1465,-727,3
-1455,-727,3
-1445,-727,3
-1435,-727,3
-1425,-727,3
-1415,-727,3
-1405,-727,3
-1395,-727,3
-1385,-727,3
-1375,-727,3
-1365,-727,3
-1355,-727,3
-1345,-727,3
-1335,-727,3
-1325,-727,3
-1315,-727,3
-1305,-727,3
-1295,-727,3
-1285,-727,3
-1275,-727,3
-1265,-727,3
-1255,-727,3
-1245,-727,3
-1235,-727,3
-1225,-727,3
-1215,-727,3
-1205,-727,3
-1195,-727,3
-1185,-727,3
-1175,-727,3
-1165,-727,3
-1155,-727,3
-1145,-727,3
-1135,-727,3
-1125,-727,3
-1115,-727,3
-1105,-727,3
-1095,-727,3
-1085,-727,3
-1075,-727,3
-1065,-727,3
-1055,-727,3
-1045,-727,3
-1035,-727,3
-1025,-727,3
-1015,-727,3
-1005,-727,3
-995,-727,3
-985,-727,3
-975,-727,3
-965,-727,3
-955,-727,3
-3275,-717,4
-3265,-717,4
-3255,-717,4
-3245,-717,4
-3235,-717,4
-3225,-717,4
-3215,-717,4
-3205,-717,4
-3195,-717,4
-3185,-717,4
-3175,-717,4
-3165,-717,4
-3155,-717,4
-3145,-717,4
-3135,-717,4
-3125,-717,4
-3115,-717,4
-3105,-717,4
-3095,-717,4
-3085,-717,4
-3075,-717,4
-3065,-717,4
-3055,-717,4
-3045,-717,4
-3035,-717,4
-3025,-717,4
-3015,-717,4
-3005,-717,4
-2995,-717,4
-2985,-717,4
-2975,-717,4
-2965,-717,4
-2955,-717,4
-2945,-717,4
-2935,-717,4
-2925,-717,4
